ID,ENTREZ_GENE_ID
A_19_P00315452,
A_19_P00315459,
A_19_P00315469,
A_19_P00315473,
A_19_P00315482,
A_19_P00315490,
A_19_P00315492,
A_19_P00315493,
A_19_P00315496,
A_19_P00315499,
A_19_P00315502,
A_19_P00315504,
A_19_P00315506,9674
A_19_P00315508,256227
A_19_P00315518,
A_19_P00315519,
A_19_P00315523,
A_19_P00315524,
A_19_P00315526,157697
A_19_P00315527,157697
A_19_P00315528,
A_19_P00315529,
A_19_P00315532,
A_19_P00315533,
A_19_P00315535,
A_19_P00315538,
A_19_P00315541,
A_19_P00315543,
A_19_P00315545,
A_19_P00315550,
A_19_P00315551,
A_19_P00315553,
A_19_P00315554,
A_19_P00315558,
A_19_P00315560,
A_19_P00315561,
A_19_P00315563,
A_19_P00315566,
A_19_P00315571,
A_19_P00315577,
A_19_P00315581,
A_19_P00315583,
A_19_P00315584,4780
A_19_P00315587,11170
A_19_P00315592,
A_19_P00315593,
A_19_P00315595,
A_19_P00315598,
A_19_P00315601,
A_19_P00315603,
A_19_P00315606,
A_19_P00315608,9175
A_19_P00315609,9175
A_19_P00315610,9175
A_19_P00315620,
A_19_P00315625,
A_19_P00315627,
A_19_P00315631,
A_19_P00315633,
A_19_P00315634,
A_19_P00315637,
A_19_P00315640,
A_19_P00315641,
A_19_P00315647,
A_19_P00315649,
A_19_P00315651,
A_19_P00315654,
A_19_P00315656,
A_19_P00315657,
A_19_P00315658,
A_19_P00315659,
A_19_P00315662,
A_19_P00315667,
A_19_P00315668,28996
A_19_P00315670,
A_19_P00315672,
A_19_P00315682,
A_19_P00315687,
A_19_P00315691,
A_19_P00315693,
A_19_P00315695,
A_19_P00315705,
A_19_P00315706,
A_19_P00315709,
A_19_P00315710,
A_19_P00315715,
A_19_P00315716,
A_19_P00315717,285550
A_19_P00315718,285550
A_19_P00315725,
A_19_P00315726,
A_19_P00315730,
A_19_P00315735,
A_19_P00315738,
A_19_P00315746,
A_19_P00315750,
A_19_P00315753,
A_19_P00315755,5966
A_19_P00315759,
A_19_P00315762,
A_19_P00315764,
A_19_P00315768,
A_19_P00315773,
A_19_P00315774,
A_19_P00315778,
A_19_P00315779,
A_19_P00315780,
A_19_P00315783,
A_19_P00315786,
A_19_P00315788,4507
A_19_P00315789,
A_19_P00315790,
A_19_P00315791,
A_19_P00315793,
A_19_P00315797,
A_19_P00315798,100506374
A_19_P00315799,
A_19_P00315804,
A_19_P00315808,26234
A_19_P00315810,
A_19_P00315813,
A_19_P00315815,
A_19_P00315818,
A_19_P00315820,
A_19_P00315824,
A_19_P00315826,
A_19_P00315831,
A_19_P00315832,
A_19_P00315835,
A_19_P00315841,
A_19_P00315843,
A_19_P00315856,
A_19_P00315859,
A_19_P00315862,
A_19_P00315863,
A_19_P00315868,
A_19_P00315869,55070
A_19_P00315870,
A_19_P00315872,
A_19_P00315875,
A_19_P00315880,80022
A_19_P00315883,
A_19_P00315886,
A_19_P00315888,
A_19_P00315892,
A_19_P00315893,
A_19_P00315894,
A_19_P00315896,
A_19_P00315897,
A_19_P00315898,
A_19_P00315899,
A_19_P00315900,
A_19_P00315905,
A_19_P00315906,
A_19_P00315913,
A_19_P00315914,
A_19_P00315915,
A_19_P00315916,
A_19_P00315917,
A_19_P00315922,57705
A_19_P00315925,
A_19_P00315928,
A_19_P00315931,23189
A_19_P00315936,
A_19_P00315941,
A_19_P00315943,
A_19_P00315948,
A_19_P00315956,55074
A_19_P00315959,
A_19_P00315960,
A_19_P00315961,
A_19_P00315962,
A_19_P00315963,390980
A_19_P00315964,
A_19_P00315967,
A_19_P00315970,
A_19_P00315977,
A_19_P00315981,
A_19_P00315986,
A_19_P00315997,
A_19_P00315998,
A_19_P00315999,
A_19_P00316000,
A_19_P00316007,
A_19_P00316010,5608
A_19_P00316012,339263
A_19_P00316013,
A_19_P00316014,
A_19_P00316018,
A_19_P00316023,
A_19_P00316025,
A_19_P00316026,
A_19_P00316030,
A_19_P00316034,
A_19_P00316035,
A_19_P00316039,
A_19_P00316041,
A_19_P00316044,
A_19_P00316047,
A_19_P00316050,
A_19_P00316058,
A_19_P00316061,
A_19_P00316063,
A_19_P00316067,
A_19_P00316068,
A_19_P00316071,
A_19_P00316075,
A_19_P00316083,
A_19_P00316088,
A_19_P00316093,
A_19_P00316096,
A_19_P00316097,
A_19_P00316098,
A_19_P00316103,
A_19_P00316105,26013
A_19_P00316107,26013
A_19_P00316108,
A_19_P00316109,
A_19_P00316110,
A_19_P00316116,
A_19_P00316125,
A_19_P00316126,
A_19_P00316131,
A_19_P00316135,
A_19_P00316142,
A_19_P00316144,
A_19_P00316149,
A_19_P00316152,
A_19_P00316156,
A_19_P00316159,
A_19_P00316160,
A_19_P00316164,
A_19_P00316166,
A_19_P00316175,
A_19_P00316177,
A_19_P00316180,
A_19_P00316183,
A_19_P00316185,
A_19_P00316187,
A_19_P00316190,
A_19_P00316194,
A_19_P00316197,
A_19_P00316198,
A_19_P00316199,6801
A_19_P00316200,6801
A_19_P00316202,
A_19_P00316205,
A_19_P00316207,
A_19_P00316210,
A_19_P00316211,
A_19_P00316212,
A_19_P00316213,
A_19_P00316218,
A_19_P00316219,
A_19_P00316225,11170
A_19_P00316227,
A_19_P00316231,
A_19_P00316233,
A_19_P00316235,
A_19_P00316238,3925
A_19_P00316241,
A_19_P00316242,
A_19_P00316244,
A_19_P00316245,
A_19_P00316248,
A_19_P00316249,
A_19_P00316255,
