Name	MOA	Target	Phase
[sar9,met(o2)11]-substance-p	tachykinin antagonist	TACR1	Preclinical
A-1070722	glycogen synthase kinase inhibitor	GSK3A, GSK3B	Preclinical
A-1120	retinoid receptor ligand	RBP4	Preclinical
A-317491	purinergic receptor antagonist	P2RX3	Preclinical
A-33903			Phase 2
A-366	histone lysine methyltransferase inhibitor	EHMT1, EHMT2	Preclinical
A-412997	dopamine receptor agonist	DRD4	Preclinical
A-438079	purinergic receptor antagonist	P2RX7	Preclinical
A-582941	nicotinic receptor agonist	CHRNA7	Preclinical
A-61603	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D	Preclinical
A-674563	AKT inhibitor	AKT1, PKIA, PRKACA	Preclinical
A-7	calmodulin antagonist		Preclinical
A-769662	AMPK activator		Preclinical
A-784168	transient receptor potential channel antagonist	TRPV1	Preclinical
A-803467	sodium channel blocker	SCN10A	Preclinical
A-804598	purinergic receptor antagonist	P2RX7	Preclinical
A-839977	purinergic receptor antagonist	P2RX7	Preclinical
A-867744	acetylcholine receptor allosteric modulator	CHRNA3, CHRNA4, CHRNA7	Preclinical
A-887826	sodium channel blocker	SCN10A	Preclinical
A-922500	diacylglycerol O acyltransferase inhibitor	DGAT1	Preclinical
A-939572	stearoyl-CoA desaturase inhibitor	SCD	Preclinical
A-967079	transient receptor potential channel antagonist	TRPA1	Preclinical
A-987306	histamine receptor antagonist	ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2	Preclinical
AA-29504	GABA receptor positive allosteric modulator	GABRA1, GABRA4, GABRB3	Preclinical
abacavir	nucleoside reverse transcriptase inhibitor		Launched
abafungin	sterol methyltransferase inhibitor		Phase 3
abamectin	benzodiazepine receptor agonist	GABBR1, GABBR2	Launched
abametapir	metalloproteinase inhibitor	MMP9	Phase 3
ABC-294640	sphingosine kinase inhibitor	SPHK2	Phase 1/Phase 2
abemaciclib	CDK inhibitor	CDK4, CDK6	Launched
abiraterone	androgen biosynthesis inhibitor	CYP11B1, CYP17A1	Launched
abiraterone-acetate	androgen biosynthesis inhibitor	CYP17A1	Launched
ABT-202	acetylcholine receptor agonist		Phase 1
ABT-239	histamine receptor antagonist	HRH1, HRH2, HRH3	Phase 1
ABT-491	platelet activating factor receptor antagonist	PTAFR	Phase 1
ABT-639	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I	Phase 2
ABT-702	adenosine kinase inhibitor	ADK	Preclinical
ABT-724	dopamine receptor agonist	DRD4	Phase 2
ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2	Phase 1/Phase 2
ABT-751	tubulin polymerization inhibitor	TUBB	Phase 2
