ID,ENTREZ_GENE_ID
1007_s_at,780 /// 100616237
1053_at,5982
117_at,3310
121_at,7849
1255_g_at,2978
1294_at,7318 /// 100847079
1316_at,7067
1320_at,11099
1405_i_at,6352
1431_at,1571
1438_at,2049
1487_at,2101
1494_f_at,1548
1598_g_at,2621
160020_at,4323
1729_at,8717
1773_at,2342 /// 100529261
177_at,5337
179_at,441263
1861_at,572
200000_s_at,10594
200001_at,826
200002_at,11224
200003_s_at,6158 /// 102465483
200004_at,1982
200005_at,8664
200006_at,11315
200007_at,6727
200008_s_at,2665
200009_at,2665
200010_at,6135
200011_s_at,377
200012_x_at,6144 /// 26771 /// 619499 /// 100131205
200013_at,6152
200014_s_at,3183
200015_s_at,4735
200016_x_at,3178 /// 664709
200017_at,6233
200018_at,6207 /// 85388 /// 100508408
200019_s_at,2197
200020_at,23435
200021_at,1072
200022_at,6141
200023_s_at,8665
200024_at,6193
200025_s_at,6155
200026_at,6164
200027_at,4677
200028_s_at,56910
200029_at,6143
200030_s_at,5250
200031_s_at,6205 /// 84546
200032_s_at,6133
200033_at,1655 /// 100616387 /// 100616408
200034_s_at,6128
200035_at,23399
200036_s_at,4736
200037_s_at,11335
200038_s_at,6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842
200039_s_at,5690
200040_at,10657
200041_s_at,7919 /// 692199 /// 100532737
200042_at,51493
200043_at,2079
200044_at,8683 /// 283459
200045_at,23
200046_at,1603
200047_s_at,7528
200048_s_at,10899
200049_at,11143
200050_at,7705
200051_at,9092
200052_s_at,3608
200053_at,9552
200054_at,8882
200055_at,6881
200056_s_at,10438
200057_s_at,4841
200058_s_at,23020 /// 101929240
200059_s_at,387
200060_s_at,10921
200061_s_at,6229
200062_s_at,6156
200063_s_at,4869
200064_at,3326
200065_s_at,375 /// 100500810
200066_at,3550
200067_x_at,8724
200068_s_at,821
200069_at,9733
200070_at,27013
200071_at,10285
200072_s_at,4670
200073_s_at,3184
200074_s_at,9045
200075_s_at,2987
200076_s_at,79036
200077_s_at,4946
200078_s_at,533
200079_s_at,3735
200080_s_at,3020 /// 3021 /// 440926
200081_s_at,6194
200082_s_at,6201
200083_at,23326
200084_at,10944
200085_s_at,6923
200086_s_at,1327
200087_s_at,10959
200088_x_at,6136 /// 65065
200089_s_at,6124 /// 595097 /// 595098 /// 595099 /// 595100
200090_at,2339
200091_s_at,6230
200092_s_at,6167
200093_s_at,3094
200094_s_at,1938
200095_x_at,6204
200096_s_at,8992
200097_s_at,3190
200098_s_at,51433
200099_s_at,6189 /// 8944
200593_s_at,3192
200594_x_at,3192
200595_s_at,8661
200596_s_at,8661
200597_at,8661
200598_s_at,7184 /// 100500842
200599_s_at,7184 /// 100500842
200600_at,4478
200601_at,81
200602_at,351
200603_at,5573
200604_s_at,5573
200605_s_at,5573
200606_at,1832
200607_s_at,5885
200608_s_at,5885
200609_s_at,9948
200610_s_at,4691
200611_s_at,9948
200612_s_at,163
200613_at,1173
200614_at,1213
200615_s_at,163
200616_s_at,9761
200617_at,9761
200618_at,3927
200619_at,10992
200620_at,9528
200621_at,1465
200622_x_at,801 /// 805 /// 808
200623_s_at,801 /// 805 /// 808
200624_s_at,9782 /// 724102
200625_s_at,10487
200626_s_at,9782 /// 724102
200627_at,10728
200628_s_at,7453
200629_at,7453
200630_x_at,6418 /// 646817
200631_s_at,6418 /// 646817
200632_s_at,10397
200633_at,7314
200634_at,5216
200635_s_at,5792
200636_s_at,5792
200637_s_at,5792
200638_s_at,7534
200639_s_at,7534
200640_at,7534
200641_s_at,7534
200642_at,6647
200643_at,3069
200644_at,65108
200645_at,11337
200646_s_at,4924
200647_x_at,8663 /// 728689
200648_s_at,2752
200649_at,4924
200650_s_at,3939
200651_at,10399 /// 619570 /// 619571
200652_at,6746
200653_s_at,801 /// 805 /// 808
200654_at,5034
200655_s_at,801 /// 805 /// 808
200656_s_at,5034
200657_at,292
200658_s_at,5245
200659_s_at,5245
200660_at,6282
200661_at,5476
200662_s_at,9804
200663_at,967
200664_s_at,3337
200665_s_at,6678
200666_s_at,3337
200667_at,7323
200668_s_at,7323
200669_s_at,7323
200670_at,7494
200671_s_at,6711
200672_x_at,6711
200673_at,9741
200674_s_at,6161
200675_at,975
200676_s_at,7332
200677_at,754
200678_x_at,2896
200679_x_at,3146
200680_x_at,3146
200681_at,2739
200682_s_at,7332
200683_s_at,7332
200684_s_at,7332
200685_at,9295
200686_s_at,9295
200687_s_at,23450
200688_at,23450
200689_x_at,1937 /// 100500804
200690_at,3313
200691_s_at,3313
200692_s_at,3313
200693_at,10971
200694_s_at,57062
200695_at,5518
200696_s_at,2934
200697_at,3098
200698_at,11014
200699_at,11014
200700_s_at,11014
200701_at,10577
200702_s_at,57062
200703_at,8655
200704_at,9516
200705_s_at,1933 /// 619569
200706_s_at,9516
200707_at,5589
200708_at,2806
200709_at,2280 /// 101929368
200710_at,37
200711_s_at,6500
200712_s_at,22919
200713_s_at,22919
200714_x_at,10956
200715_x_at,23521 /// 26816 /// 26817 /// 26818 /// 26819
200716_x_at,23521 /// 26816 /// 26817 /// 26818 /// 26819 /// 728658
200717_x_at,6129
200718_s_at,6500
200719_at,6500
200720_s_at,10121
200721_s_at,10121
200722_s_at,4076
200723_s_at,4076
200724_at,6134 /// 26778
200725_x_at,6134 /// 26778
200726_at,5501
200727_s_at,10097
200728_at,10097
200729_s_at,10097
200730_s_at,7803
200731_s_at,7803
200732_s_at,7803
200733_s_at,7803
200734_s_at,377
200735_x_at,4666
200736_s_at,2876
200737_at,5230
200738_s_at,5230
200739_s_at,6612
200740_s_at,6612
200741_s_at,6232
200742_s_at,1200
200743_s_at,1200
200744_s_at,2782
200745_s_at,2782
200746_s_at,2782
200747_s_at,4926
200748_s_at,2495
200749_at,5901
200750_s_at,5901
200751_s_at,3183
200752_s_at,823
200753_x_at,6427 /// 693221
200754_x_at,6427 /// 693221
200755_s_at,813
200756_x_at,813
200757_s_at,813
200758_s_at,4779
200759_x_at,4779
200760_s_at,10550
200761_s_at,10550
200762_at,1808
200763_s_at,6176
200764_s_at,1495
200765_x_at,1495
200766_at,1509
200767_s_at,23196
200768_s_at,4144
200769_s_at,4144
200770_s_at,3915
200771_at,3915
200772_x_at,5757 /// 728026 /// 100302285 /// 100422872 /// 100422885 /// 100506248
200773_x_at,5757
200774_at,23196
200775_s_at,3190
200776_s_at,9689
200777_s_at,9689
200778_s_at,4735
200779_at,468
200780_x_at,2778
200781_s_at,6210
200782_at,308
200783_s_at,3925
200784_s_at,4035
200785_s_at,4035
200786_at,5695
200787_s_at,8682
200788_s_at,8682
200789_at,1891
200790_at,4953
200791_s_at,8826
200792_at,2547
200793_s_at,50
200794_x_at,9802
200795_at,8404
200796_s_at,4170
200797_s_at,4170
200798_x_at,4170
200799_at,3303 /// 3304
200800_s_at,3303 /// 3304 /// 3305
200801_x_at,60
200802_at,6301
200803_s_at,7009
200804_at,7009
200805_at,10960
200806_s_at,3329
200807_s_at,3329
200808_s_at,7791
200809_x_at,6136
200810_s_at,1153
200811_at,1153
200812_at,10574
200813_s_at,5048
200814_at,5720
200815_s_at,5048
200816_s_at,5048
200817_x_at,6204
200818_at,539
200819_s_at,6209
200820_at,5714
200821_at,3920
200822_x_at,7167
200823_x_at,6159
200824_at,2950
200825_s_at,10525
200826_at,6633
200827_at,5351
200828_s_at,7756
200829_x_at,7756
200830_at,5708
200831_s_at,6319
200832_s_at,6319
200833_s_at,5908
200834_s_at,6227
200835_s_at,4134
200836_s_at,4134
200837_at,10134
200838_at,1508
200839_s_at,1508
200840_at,3735
200841_s_at,2058
200842_s_at,2058
