ENTREZ_GENE_ID,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state,pos,0.5,top 0.25
1,42776,0,0,1114,2237,9308,21018,21074,0.75,1,0
2,341085,46975,28588,44261,9396,14434,127584,119537,1.0,1,1
144568,0,0,0,1697,1512,663,637,884,0.625,1,0
8086,109983,107972,110925,62711,38733,73652,44777,59406,1.0,1,1
65985,13945,7500,14854,3286,338,1413,307,2021,1.0,1,0
79719,40410,24018,18055,8442,2299,0,1708,3298,0.875,1,0
22848,107204,103071,91246,58498,103898,106788,80207,159495,1.0,1,1
28971,1205,36045,14295,27745,37782,72506,19916,40227,1.0,1,1
14,56321,26085,37054,58951,20296,21548,17904,25017,1.0,1,0
25980,21278,24134,17024,14239,7893,3320,9045,9642,1.0,1,0
57505,42702,45307,35814,21472,26876,26451,32948,27769,1.0,1,0
80755,62860,40705,32966,35621,21283,18811,15179,24386,1.0,1,0
60496,155170,174578,128016,49069,55402,53765,30541,54689,1.0,1,1
10157,8577,5656,0,1590,2991,4662,6514,28556,0.875,1,0
26574,61253,40392,59796,37199,30258,45553,42204,44060,1.0,1,0
19,0,0,2138,2338,1037,0,497,1134,0.625,1,0
154664,62164,1734,31400,17039,4490,0,1100,3526,0.875,1,0
10347,0,0,0,631,0,0,494,0,0.25,0,0
5243,117,788,1297,1240,783,1990,0,941,0.875,1,0
23456,17835,21144,21840,16629,3988,3775,6169,4958,1.0,1,0
10058,341,3027,1851,2957,1555,0,2065,0,0.75,1,0
22,57186,58106,65448,53005,39460,41070,44729,45845,1.0,1,0
11194,8371,13259,11862,5679,4189,3985,4795,5421,1.0,1,0
4363,24157,34598,25255,21443,7433,8115,8288,10021,1.0,1,0
89845,0,384,368,1124,0,0,788,778,0.625,1,0
8714,0,0,0,342,318,273,265,454,0.625,1,0
10257,3542,3694,2529,0,1800,4512,0,864,0.75,1,0
10057,8014,8954,0,0,0,0,0,0,0.25,0,0
215,1234,1937,4152,1162,2940,1610,3421,7077,1.0,1,0
225,7206,6699,7504,2256,4418,7141,4667,2672,1.0,1,0
5825,73615,97152,79988,44395,30315,26266,32813,28296,1.0,1,1
5826,0,641,399,1103,0,0,0,0,0.375,0,0
6059,555719,587647,581118,379072,236227,220555,195368,296378,1.0,1,1
23,179991,307520,241580,284834,202248,156529,208252,226609,1.0,1,1
10061,243969,263925,256929,204436,60143,59612,48127,64947,1.0,1,1
55324,60730,56419,50262,44220,37039,32098,28180,48096,1.0,1,0
55347,583405,457017,408374,225878,373852,438832,273027,384502,1.0,1,1
83451,106117,58032,40579,33529,26012,43330,26748,34013,1.0,1,1
26090,14058,19001,32032,16971,20832,17549,15421,26335,1.0,1,0
84945,0,0,0,0,2804,1698,2851,3618,0.5,0,0
84836,978752,635741,523855,334845,709148,834176,452869,1097761,1.0,1,1
116236,0,0,0,0,0,0,0,0,0.0,0,0
7920,19905,39196,49862,18608,25040,20220,25078,28122,1.0,1,0
81926,0,0,3378,2331,6764,4994,5002,4171,0.75,1,0
51104,8030,3055,1249,3882,4651,1012,1133,4118,1.0,1,0
11057,0,0,0,0,0,0,0,0,0.0,0,0
171586,0,0,0,0,0,0,0,0,0.0,0,0
