## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE results/homo_sapiens/naiveB/naiveB/picard/hist/naiveB_S2R4_insert_size_histo.pdf --MINIMUM_PCT 0.05 --INPUT results/homo_sapiens/naiveB/naiveB/align/S2R4/naiveB_S2R4.bam --OUTPUT results/homo_sapiens/naiveB/naiveB/picard/insert/naiveB_S2R4_insert_size.txt --VERBOSITY WARNING --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 09 16:37:41 CST 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
272	222	91	17	1222296	283.084512	178.006309	15850014	FR	33	65	101	139	183	243	351	1565	6863	15615	77261			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
17	4
18	1
19	1
21	4
22	6
23	10
24	8
25	11
26	27
27	118
28	180
29	261
30	805
31	891
32	895
33	1033
34	1148
35	1621
36	2399
37	2896
38	3284
39	3655
40	3682
41	3682
42	3852
43	4204
44	4366
45	4378
46	4697
47	4820
48	5223
49	5166
50	5402
51	5491
52	5333
53	5363
54	5558
55	5927
56	6391
57	6326
58	6607
59	6763
60	6655
61	6712
62	7095
63	7215
64	7316
65	7216
66	7375
67	7984
68	7844
69	8441
70	8368
71	8300
72	8489
73	8770
74	8721
75	8962
76	8730
77	9355
78	10215
79	10066
80	10561
81	10419
82	10372
83	11117
84	10481
85	11097
86	11084
87	11021
88	11831
89	11955
90	12338
91	12469
92	12618
93	12737
94	12935
95	12883
96	13361
97	13082
98	13664
99	14375
100	15019
101	14871
102	14846
103	15488
104	15934
105	16130
106	16326
107	15984
108	15890
109	17008
110	17493
111	18050
112	17773
113	18229
114	18428
115	18471
116	18784
117	19222
118	19712
119	20006
120	20619
121	20536
122	21304
123	21846
124	21892
125	23272
126	22008
127	22393
128	22607
129	23072
130	24034
131	23759
132	24504
133	26038
134	26101
135	26325
136	25957
137	26132
138	27743
139	26788
140	28266
141	28060
142	28808
143	29853
144	30009
145	31157
146	30760
147	30994
148	31193
149	31667
150	32425
151	32700
152	33966
153	34291
154	35187
155	35137
156	35713
157	36583
158	35736
159	36725
160	37261
161	37848
162	37579
163	38036
164	39890
165	39094
166	40844
167	41183
168	40310
169	40450
170	41353
171	42416
172	42137
173	44950
174	43337
175	44638
176	44910
177	45346
178	46115
179	45112
180	45917
181	46367
182	46925
183	47803
184	48791
185	48786
186	49832
187	48775
188	48553
189	50342
190	49867
191	50274
192	50466
193	52453
194	53004
195	52684
196	53442
197	52943
198	53267
199	53679
200	54805
201	53935
202	55275
203	53938
204	56813
205	55235
206	56389
207	58313
208	56387
209	56366
210	56651
211	56519
