Reaction,Abbreviation,Compartment,Minimum Reaction Rate,Maximum Reaction Rate
Exchange,glc_D,Extracellular,-1000,100
Exchange,fe2,Extracellular,-1000,1000
Exchange,gal,Extracellular,-1000,0
Exchange,zn2,Extracellular,-1000,1000
Exchange,ca2,Extracellular,-1000,1000
Exchange,na1,Extracellular,-1000,1000
Exchange,cl,Extracellular,-1000,1000
Exchange,k,Extracellular,-1000,1000
Exchange,h,Extracellular,-1000,1000
Exchange,h2o,Extracellular,-1000,1000
Exchange,o2,Extracellular,-1000,1000
Exchange,pi,Extracellular,-1000,1000
Exchange,ppi,Extracellular,-1000,1000
Exchange,co2,Extracellular,-1000,1000
Exchange,nh4,Extracellular,-1000,1000
Exchange,no2,Extracellular,-1000,1000
Exchange,co,Extracellular,-1000,1000
Exchange,asn_L,Extracellular,-1000,1
Exchange,asp_L,Extracellular,-1000,1
Exchange,glu_L,Extracellular,-1000,1
Exchange,ile_L,Extracellular,-1000,1
Exchange,leu_L,Extracellular,-1000,1
Exchange,lys_L,Extracellular,-1000,1
Exchange,met_L,Extracellular,-1000,1
Exchange,pro_L,Extracellular,-1000,1
Exchange,ser_L,Extracellular,-1000,1
Exchange,val_L,Extracellular,-1000,1
Exchange,gly,Extracellular,-1000,1
Exchange,cys_L,Extracellular,-1000,1
Exchange,ala_L,Extracellular,-1000,1
Exchange,his_L,Extracellular,-1000,1
Exchange,thr_L,Extracellular,-1000,1
Exchange,gln_L,Extracellular,-1000,1
Exchange,phe_L,Extracellular,-1000,1
Exchange,tyr_L,Extracellular,-1000,1
Exchange,arg_L,Extracellular,-1000,1
Exchange,trp_L,Extracellular,-1000,1
Exchange,eicostet,Extracellular,-1000,1
Exchange,hdca,Extracellular,-1000,1
Exchange,hdcea,Extracellular,-1000,1
Exchange,lnlc,Extracellular,-1000,1
Exchange,lnlnca,Extracellular,-1000,1
Exchange,lnlncg,Extracellular,-1000,1
Exchange,ocdca,Extracellular,-1000,1
Exchange,ocdcea,Extracellular,-1000,1
Exchange,thmmp,Extracellular,-1000,0
Exchange,thmtp,Extracellular,-1000,0
Exchange,ncam,Extracellular,-1000,0
Exchange,pnto_R,Extracellular,-1000,0
Exchange,pydxn,Extracellular,-1000,0
Exchange,pydx,Extracellular,-1000,0
Exchange,pydam,Extracellular,-1000,0
Exchange,btn,Extracellular,-1000,0
Exchange,fol,Extracellular,-1000,10
Exchange,aqcobal,Extracellular,-1000,0
Exchange,vitd3,Extracellular,-1000,1
Exchange,ascb_L,Extracellular,-1000,0
Exchange,retinol,Extracellular,-1000,10
Exchange,retinal,Extracellular,-1000,10
Exchange,ala_B,Extracellular,-1000,1
Exchange,ala_D,Extracellular,-1000,1
Exchange,h2co3,Extracellular,-1000,1000
Exchange,h2o2,Extracellular,-1000,1000
Exchange,hco3,Extracellular,-1000,1000
Exchange,orn,Extracellular,-1000,1
Exchange,orn_D,Extracellular,-1000,1
Exchange,so4,Extracellular,-1000,1000
Exchange,ribflv,Extracellular,-1000,1
Exchange,Lcystin,Extracellular,-1000,1
