genes,aHCnaiveB_S1R1,aHCnaiveB_S1R3,aHCnaiveB_S1R4,aSLEnaiveB_S1R1,aSLEnaiveB_S1R2,aSLEnaiveB_S1R3,aSLEnaiveB_S1R4
ENSG00000000003,0,122,79,6,6,9,7
ENSG00000000005,0,19,15,0,0,0,0
ENSG00000000419,152,150,156,1758,1701,1686,2397
ENSG00000000457,50,61,59,952,1169,731,1204
ENSG00000000460,23,67,75,832,349,751,477
ENSG00000000938,790,131,312,14301,9905,1529,10986
ENSG00000000971,3,24,35,0,0,0,0
ENSG00000001036,34,46,59,396,274,198,225
ENSG00000001084,155,33,68,1564,1095,886,1121
ENSG00000001167,208,109,190,3230,3494,3016,4034
ENSG00000001460,11,109,37,301,206,198,169
ENSG00000001461,351,62,97,1790,2127,1657,2139
ENSG00000001497,361,90,117,2848,2771,2578,3883
ENSG00000001561,29,37,55,1400,1106,1420,2114
ENSG00000001617,3,130,175,4,0,0,2
ENSG00000001626,6,115,82,0,0,0,0
ENSG00000001629,181,46,48,2941,2691,1896,2889
ENSG00000001630,1,4,3,51,48,40,49
ENSG00000001631,123,112,128,674,542,599,723
ENSG00000002016,139,115,112,783,752,675,863
ENSG00000002079,11,206,68,3,1,7,5
ENSG00000002330,6,38,67,241,275,214,339
ENSG00000002549,99,68,108,4078,2981,879,1496
ENSG00000002586,239,30,57,1167,2640,1559,2601
ENSG00000002587,193,151,202,1339,1114,554,831
ENSG00000002726,6,132,66,0,2,0,0
ENSG00000002745,64,29,47,409,343,283,428
ENSG00000002746,3,217,214,0,2,0,0
ENSG00000002822,11,221,203,661,334,558,572
ENSG00000002834,597,191,110,5606,5849,3685,5238
ENSG00000002919,288,90,103,1085,2181,1979,3048
ENSG00000002933,1,56,103,0,0,0,0
ENSG00000003056,460,53,68,3088,3210,1785,2866
ENSG00000003096,0,37,28,5,3,7,3
ENSG00000003137,3,97,123,2,1,0,1
ENSG00000003147,1,17,36,9,10,4,10
ENSG00000003249,118,148,137,1268,2799,666,2650
ENSG00000003393,59,216,244,812,751,862,978
ENSG00000003400,96,10,84,1794,1892,472,1380
ENSG00000003402,448,423,630,8072,7159,5479,6797
ENSG00000003436,3,43,44,0,0,1,0
ENSG00000003509,49,49,14,805,608,652,812
ENSG00000003756,1191,171,258,7726,6989,6833,9774
ENSG00000003987,12,29,20,130,128,87,179
ENSG00000003989,1,102,139,0,0,0,0
ENSG00000004059,97,45,84,2844,3590,2839,4406
ENSG00000004139,49,99,195,533,504,599,827
ENSG00000004142,328,77,133,2531,2712,2277,3313
ENSG00000004399,7,300,333,61,33,79,49
ENSG00000004455,493,67,100,4560,5820,3027,5123
ENSG00000004468,312,75,56,3413,3631,885,2604
ENSG00000004478,413,114,184,1053,1430,941,1566
ENSG00000004487,622,47,100,3315,3200,3460,4246
ENSG00000004534,832,90,166,12968,15050,6145,13515
ENSG00000004660,13,298,335,106,214,327,315
ENSG00000004700,35,24,26,2313,1910,1322,2145
ENSG00000004766,30,59,65,2003,1342,1148,1888
ENSG00000004776,0,15,11,0,0,0,0
ENSG00000004777,8,91,166,603,707,953,1170
ENSG00000004779,87,107,113,906,1216,651,1168
ENSG00000004799,6,93,83,255,152,18,250
ENSG00000004809,0,35,52,0,0,0,0
ENSG00000004838,7,94,134,40,67,45,72
ENSG00000004846,3,116,146,0,0,0,0
ENSG00000004848,0,83,88,0,0,0,0
ENSG00000004864,61,35,31,574,559,560,819
ENSG00000004866,3,54,29,13,14,18,8
ENSG00000004897,166,102,90,4265,3401,2287,4029
ENSG00000004939,1,149,101,0,0,0,1
ENSG00000004948,1,94,36,0,0,0,0
ENSG00000004961,158,49,63,665,681,552,778
ENSG00000004975,112,123,143,2709,3155,2455,3359
ENSG00000005001,1,70,94,0,0,0,0
ENSG00000005007,151,434,654,5955,4858,4967,7001
ENSG00000005020,523,24,153,3457,4927,2425,4439
ENSG00000005022,850,73,183,5660,8906,5147,8970
ENSG00000005059,579,126,179,5888,5567,3022,6221
ENSG00000005073,0,41,53,0,0,0,0
ENSG00000005075,24,18,31,1042,1445,1069,1507
ENSG00000005100,85,130,133,934,1062,1000,1350
ENSG00000005102,0,57,68,0,0,0,1
ENSG00000005108,3,55,45,1,1,0,2
ENSG00000005156,249,81,188,797,739,826,865
ENSG00000005175,105,51,47,2513,3054,1255,2430
ENSG00000005187,67,33,48,369,352,167,333
ENSG00000005189,2,60,27,5,5,6,6
ENSG00000005194,118,115,79,949,1210,749,1275
ENSG00000005206,148,127,209,12337,9269,13572,17492
ENSG00000005238,17,174,159,228,241,143,242
ENSG00000005243,5,70,126,15,13,44,23
ENSG00000005249,6,54,37,33,44,34,50
ENSG00000005302,522,109,276,6275,4740,4940,6252
ENSG00000005339,2532,318,440,20835,16776,16907,24355
ENSG00000005379,25,340,413,381,316,408,522
ENSG00000005381,2,146,153,0,1,1,0
ENSG00000005421,2,44,23,9,0,1,4
ENSG00000005436,43,61,61,762,955,654,1014
ENSG00000005448,88,67,110,381,600,504,758
ENSG00000005469,32,44,26,433,333,378,391
ENSG00000005471,305,71,158,2559,3359,2438,3009
ENSG00000005483,1003,119,277,15803,13060,10882,16023
ENSG00000005486,137,93,146,1990,1867,1720,2306
ENSG00000005513,3,62,127,7,1,3,4
ENSG00000005700,117,68,89,3672,2903,2264,3253
ENSG00000005801,215,155,152,1887,2033,1891,2586
ENSG00000005810,807,147,313,24974,21544,15458,20811
ENSG00000005812,278,21,61,5846,5179,5371,7242
ENSG00000005844,467,251,312,5343,3776,4696,4860
ENSG00000005882,49,100,158,525,468,391,523
ENSG00000005884,9,235,256,173,73,230,138
ENSG00000005889,304,81,121,5633,5360,5085,6355
ENSG00000005893,285,41,32,2620,3292,1475,3222
ENSG00000005961,2,173,284,9,12,19,17
ENSG00000005981,0,61,60,0,0,0,0
ENSG00000006007,250,55,67,1033,1327,919,1103
ENSG00000006015,34,57,138,2326,2543,2427,3160
ENSG00000006016,2,72,93,19,20,18,43
ENSG00000006025,123,182,249,2188,2018,1969,2995
ENSG00000006042,1,62,107,0,3,0,0
ENSG00000006047,2,82,153,0,0,0,2
ENSG00000006059,0,57,43,0,0,0,0
ENSG00000006062,234,126,112,5921,6128,5500,7189
ENSG00000006071,14,401,301,1,1,4,0
ENSG00000006116,0,12,4,0,0,0,0
ENSG00000006118,28,203,279,48,44,47,54
ENSG00000006125,715,152,196,7357,6900,4162,7075
ENSG00000006128,1,48,54,0,0,0,0
ENSG00000006194,208,103,272,2987,3156,2385,4235
ENSG00000006210,2,99,24,1,1,0,0
ENSG00000006282,39,101,154,629,2941,1587,4799
ENSG00000006283,3,264,333,0,0,2,0
ENSG00000006327,0,22,18,9,2,1,6
ENSG00000006377,0,51,71,0,0,1,0
ENSG00000006432,414,162,144,1891,2153,2118,3085
ENSG00000006451,174,49,41,1674,1596,635,1476
ENSG00000006453,8,96,60,34,36,44,97
ENSG00000006459,330,172,85,10343,8912,7562,11838
ENSG00000006468,0,93,44,0,0,3,0
ENSG00000006530,131,110,75,1264,1210,1429,2150
ENSG00000006534,5,287,302,31,36,23,42
ENSG00000006555,28,124,195,192,234,258,195
ENSG00000006576,483,38,75,5271,4580,3022,5681
ENSG00000006606,0,1,2,0,0,0,0
ENSG00000006607,355,324,142,2531,2262,2347,2775
ENSG00000006611,1,71,69,0,0,0,0
ENSG00000006625,20,15,24,176,280,189,232
ENSG00000006634,84,73,58,2255,1791,2005,2668
ENSG00000006638,10,49,119,232,336,142,656
ENSG00000006652,90,100,38,1446,1037,1451,1657
ENSG00000006659,2,6,1,0,0,0,0
ENSG00000006695,128,180,131,1025,989,663,1039
ENSG00000006704,8,175,172,7,8,28,18
ENSG00000006712,242,99,85,3403,2278,2127,2754
ENSG00000006715,185,37,71,2306,2450,1281,2456
ENSG00000006740,15,182,121,20,12,51,33
ENSG00000006744,344,291,214,2972,2135,2804,3733
ENSG00000006747,2,47,47,5,105,137,35
ENSG00000006756,43,221,148,469,584,250,385
ENSG00000006757,49,40,11,414,464,349,502
ENSG00000006788,2,111,87,0,0,0,0
ENSG00000006831,135,113,111,2929,3469,1887,3170
ENSG00000006837,8,50,24,11,11,15,26
ENSG00000007001,1,14,19,0,4,0,1
ENSG00000007038,1,70,83,41,59,13,62
ENSG00000007047,48,145,214,1259,1346,1011,1178
