"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000000003","0","0","0","6","0","0","0","0","4","0","0"
"ENSG00000000005","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000000419","38","696","417","488","321","232","485","373","771","974","634"
"ENSG00000000457","79","90","0","112","437","566","357","409","301","330","79"
"ENSG00000000460","167","24","2","92","222","289","181","138","114","295","25"
"ENSG00000000938","598","2118","405","127","5259","4743","3822","6020","1678","1303","343"
"ENSG00000000971","0","0","1","37","0","0","0","0","0","1","1"
"ENSG00000001036","269","113","1","10","181","170","127","247","58","66","19"
"ENSG00000001084","0","0","0","67","61","119","65","59","153","204","79"
"ENSG00000001167","5","74","47","14","613","1187","474","821","931","1076","355"
"ENSG00000001460","0","41","0","56","70","119","89","44","46","88","11"
"ENSG00000001461","1504","1355","5338","476","794","1049","788","773","507","639","112"
"ENSG00000001497","4905","1123","2865","164","1112","979","915","1082","573","1086","275"
"ENSG00000001561","295","235","612","7","342","333","257","321","232","449","301"
"ENSG00000001617","0","0","0","1","0","0","0","0","0","1","0"
"ENSG00000001626","0","0","29","78","0","0","0","0","2","1","0"
"ENSG00000001629","234","106","1212","546","517","689","278","268","916","1212","321"
"ENSG00000001630","209","48","0","1","33","35","24","16","8","23","9"
"ENSG00000001631","11","1","2","214","287","307","331","185","434","851","462"
"ENSG00000002016","965","578","3677","298","609","488","412","353","310","457","92"
"ENSG00000002079","0","0","0","79","0","2","2","4","2","1","1"
"ENSG00000002330","417","307","38","0","59","25","28","42","36","9","3"
"ENSG00000002549","1483","411","888","197","757","388","601","2421","156","379","86"
"ENSG00000002586","2405","3118","1012","136","409","416","527","735","288","445","125"
"ENSG00000002587","0","134","0","42","773","515","458","404","424","460","78"
"ENSG00000002726","341","0","0","4","0","0","0","0","0","0","0"
"ENSG00000002745","1","65","1","87","280","418","306","206","436","109","47"
"ENSG00000002746","0","165","0","95","0","0","0","0","0","0","0"
"ENSG00000002822","224","121","1","564","111","72","78","65","31","25","8"
"ENSG00000002834","811","247","2","85","1838","2170","1713","2033","1315","1770","262"
"ENSG00000002919","55","37","0","199","816","641","866","679","169","231","52"
"ENSG00000002933","1","2","0","0","0","8","44","399","2","1","0"
"ENSG00000003056","834","931","2","161","1630","1511","1339","1535","338","643","121"
"ENSG00000003096","0","0","0","54","0","0","0","0","1","0","1"
"ENSG00000003137","0","0","188","0","0","0","0","0","0","2","0"
"ENSG00000003147","1","0","21","3","2","1","6","22","0","4","3"
"ENSG00000003249","1","320","2","1","562","1170","1330","326","165","219","16"
"ENSG00000003393","548","289","1274","209","204","88","214","82","193","482","120"
"ENSG00000003400","172","26","13","166","363","363","253","604","246","262","109"
"ENSG00000003402","1050","1428","2676","657","1303","1246","1010","1580","2176","2488","932"
"ENSG00000003436","0","0","0","93","0","0","13","9","1","2","0"
"ENSG00000003509","68","267","8","383","425","359","380","494","221","408","137"
"ENSG00000003756","1357","1843","5052","1231","3006","3375","2384","3136","2995","4709","1388"
"ENSG00000003987","0","0","0","50","83","40","39","11","143","61","41"
"ENSG00000003989","0","0","0","2","0","0","0","0","0","1","0"
"ENSG00000004059","2748","1014","969","0","309","226","461","380","31","46","25"
"ENSG00000004139","0","0","1","0","58","59","50","45","71","106","22"
"ENSG00000004142","2890","1428","1561","123","795","747","735","668","221","551","101"
"ENSG00000004399","0","0","1","3","50","47","83","87","0","7","3"
"ENSG00000004455","169","233","601","72","1608","2079","1332","1775","788","1134","325"
"ENSG00000004468","757","407","358","83","1307","1592","1542","1969","1096","1911","616"
"ENSG00000004478","2","92","185","4","699","614","400","483","361","346","83"
"ENSG00000004487","25","379","1414","360","245","613","269","365","1141","1709","528"
"ENSG00000004534","4212","13284","104124","14478","6423","6583","4864","6362","1781","2956","877"
"ENSG00000004660","0","0","1002","6","28","87","37","60","18","32","10"
"ENSG00000004700","631","965","15","477","921","1338","720","680","454","686","132"
"ENSG00000004766","142","573","271","14","588","948","483","447","597","714","270"
"ENSG00000004776","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000004777","0","0","0","1","34","20","18","1","21","31","7"
"ENSG00000004779","406","375","3001","233","85","120","143","74","128","185","91"
"ENSG00000004799","1","0","0","8","53","22","65","127","40","186","18"
