ensembl_gene_id,naiveB_S3R1,naiveB_S3R2,naiveB_S3R3
ENSG00000186827,0,1,0
ENSG00000186891,2,0,3
ENSG00000160072,58,87,28
ENSG00000260179,0,0,2
ENSG00000234396,0,0,0
ENSG00000225972,607,7,24
ENSG00000224315,13,0,0
ENSG00000198744,24,30,18
ENSG00000279928,0,1,0
ENSG00000228037,13,13,2
ENSG00000142611,26,0,0
ENSG00000225630,961,1224,575
ENSG00000131584,33,40,18
ENSG00000227589,0,0,1
ENSG00000237402,0,0,0
ENSG00000284616,0,0,0
ENSG00000169972,19,27,3
ENSG00000157911,12,55,7
ENSG00000269896,11,21,3
ENSG00000237973,3804,224,111
ENSG00000224051,8,33,3
ENSG00000228463,0,2,1
ENSG00000260972,0,0,0
ENSG00000157933,477,775,257
ENSG00000162591,175,897,172
ENSG00000224340,2,1,2
ENSG00000270035,0,6,0
ENSG00000169962,1,4,6
ENSG00000226545,0,2,0
ENSG00000233653,0,0,0
ENSG00000268663,0,0,0
ENSG00000226374,7,1,0
ENSG00000116285,53,52,7
ENSG00000229280,0,0,0
ENSG00000142655,47,120,21
ENSG00000232596,0,1,0
ENSG00000235054,0,0,0
ENSG00000232663,0,0,0
ENSG00000284646,0,0,0
ENSG00000240409,2,0,2
ENSG00000229344,17,15,9
ENSG00000231510,0,0,0
ENSG00000149527,131,35,13
ENSG00000284739,0,0,0
ENSG00000171621,31,17,6
ENSG00000272235,7,0,0
ENSG00000236679,0,0,0
ENSG00000284694,0,0,0
ENSG00000162441,514,568,120
ENSG00000230021,2,1,0
ENSG00000271264,12,1,1
ENSG00000287356,17,12,1
ENSG00000224387,0,3,0
ENSG00000285629,0,1,0
ENSG00000173673,0,0,0
ENSG00000227372,158,467,71
ENSG00000142583,241,430,76
ENSG00000223663,0,2,0
ENSG00000284674,0,0,0
ENSG00000272161,3,5,0
ENSG00000237094,2,9,2
ENSG00000224338,0,0,0
ENSG00000074800,645,727,233
ENSG00000116786,231,406,84
ENSG00000287727,4,12,11
ENSG00000176022,15,106,32
ENSG00000223989,0,0,0
ENSG00000228423,1,1,4
ENSG00000286448,0,0,0
ENSG00000162496,2,1,0
ENSG00000237365,0,0,0
ENSG00000131686,1,1,0
ENSG00000229305,0,0,0
ENSG00000284703,0,1,0
ENSG00000226457,105,91,26
ENSG00000162494,0,0,0
ENSG00000173614,50,79,5
ENSG00000248527,1838,1586,645
ENSG00000237728,0,0,0
ENSG00000215720,0,0,0
ENSG00000279804,0,0,0
ENSG00000241326,0,0,0
ENSG00000285701,1,3,0
ENSG00000233623,0,2,0
ENSG00000162592,2,4,0
ENSG00000116254,0,3,0
ENSG00000049245,451,932,215
ENSG00000179743,9,19,1
ENSG00000233645,0,0,0
ENSG00000234064,0,0,0
ENSG00000204624,0,1,0
ENSG00000284708,4,0,0
ENSG00000171603,747,1201,222
ENSG00000280113,1,0,1
ENSG00000142606,0,0,0
ENSG00000235146,0,0,0
ENSG00000162572,5,45,5
ENSG00000225931,0,7,0
ENSG00000236601,0,0,0
ENSG00000171729,1,0,0
ENSG00000228150,8,9,0
ENSG00000175262,0,1,0
ENSG00000279457,3,6,0
ENSG00000162571,1,0,0
ENSG00000231181,2,7,0
ENSG00000238173,2,0,1
ENSG00000158109,445,628,147
ENSG00000229393,4,0,0
ENSG00000269978,2,10,1
ENSG00000037637,939,818,214
ENSG00000184163,0,2,0
ENSG00000287586,0,0,0
ENSG00000159423,3,10,1
ENSG00000142599,2336,4023,1158
ENSG00000227169,0,0,0
ENSG00000283356,0,0,0
ENSG00000011021,794,1543,436
ENSG00000272482,0,0,0
ENSG00000284747,1,37,2
ENSG00000215912,34,167,15
ENSG00000120952,0,0,0
ENSG00000243073,0,0,0
ENSG00000142615,0,2,0
ENSG00000215704,11,1,2
ENSG00000065526,3464,6266,1244
ENSG00000157916,466,981,179
ENSG00000157881,165,167,25
ENSG00000116213,62,173,31
ENSG00000283611,0,0,5
ENSG00000238290,0,0,1
ENSG00000225387,0,0,0
ENSG00000048707,3610,3137,868
ENSG00000158748,12,18,2
ENSG00000235643,0,0,0
ENSG00000225196,0,0,0
ENSG00000130762,0,2,0
ENSG00000162444,0,0,1
ENSG00000279169,0,0,0
ENSG00000279625,0,0,1
ENSG00000180758,12,56,17
ENSG00000231219,0,0,0
ENSG00000184677,897,1847,261
ENSG00000230679,1,3,0
ENSG00000270136,0,0,0
ENSG00000132879,93,308,44
ENSG00000187545,0,0,0
ENSG00000288398,20,32,11
ENSG00000224621,0,0,0
ENSG00000239810,0,0,0
ENSG00000285833,0,0,0
ENSG00000116721,0,0,0
ENSG00000215785,0,2,0
ENSG00000131697,24,108,24
ENSG00000284692,0,2,0
ENSG00000284745,0,0,0
ENSG00000225952,0,0,0
ENSG00000280222,0,6,2
ENSG00000188807,21,103,9
ENSG00000227634,0,0,0
ENSG00000198793,1079,1682,398
ENSG00000078900,0,7,0
ENSG00000285945,0,0,0
ENSG00000171819,9,46,11
ENSG00000229162,3,2,1
