uniprot,symbol,naiveB_S1R1,naiveB_S1R2,naiveB_S1R3,naiveB_S1R4
A0A024QZX5;A0A087X1N8,SERPINB6,0,0,0,0
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8,CEACAM5,0,0,0,0
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6,NRP2,0,2553,111,1117
A0A024R4E5;Q00341;Q00341-2;H0Y394,HDLBP,257349,250966,215922,145526
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2,TMPIT;TMEM120A,13719,17279,7537,16175
O94956;A0A0A0MTF1;E9PRW4;A0A024R5I4;O94956-2;O94956-4;O94956-3,SLCO2B1,0,0,0,0
O75503;A0A024R644;A0A087WZY0,CLN5,7947,15885,9341,14691
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4,ELOF1,147529,0,461589,65339
A0A024RAC6;Q14241,TCEB3,75341,59126,51474,42875
P26718;A0A024RAP8,KLRK1;hCG_2009644,0,0,11962,0
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1,ZSCAN26;ZNF187,4308,0,10665,3497
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4,ATP11C,5403,14448,5023,11079
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2,DMD,1859,3274,805,2496
A0A075B6I0,IGLV8-61,0,61414,0,0
A0A075B6I2;P06318;P06319,IGLV6-57,0,0,0,0
A0A075B6I5;P01702;P06316,IGLV1-51,31726,37251,0,9794
A0A075B6I8,IGLV1-47,0,38961,0,18582
A0A075B6I9;A0A0B4J1U2;P04211,IGLV7-46,15535,20031,16528,0
A0A075B6J0,IGLV1-40,43630,0,0,39037
A0A075B6J3,IGLV3-27,0,0,9583,0
A0A075B6J4,IGLV3-25,88086,41860,18884,71371
A0A075B6J5;P01705,IGLV2-23,25754,0,0,0
A0A075B6J7,IGLV3-21,72144,0,25928,0
A0A075B6J8,IGLV3-19,18054,48764,39109,0
A0A075B6J9,IGLV2-18,0,0,0,0
A0A075B6K1,IGLV2-14,37825,0,20176,29837
A0A075B6K4,IGLV3-10,0,20356,10699,0
A0A075B6K5,IGLV3-9,29499,24996,14922,25019
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06,IGLC2;IGLC3,134215,201931,117026,52550
A0A075B6L1;A0M8Q6,IGLC7,0,0,0,0
A0A075B6L6,TRBV7-3,0,0,0,0
A0A075B6N1,TRBV19,78815,0,0,0
A0A075B6N2,TRBV20-1,0,0,0,0
A0A075B6Q5,IGHV3-64,0,0,0,0
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614,IGKV2D-40,0,0,0,0
A0A075B6R6;A0A087WWX3;P03986,TRGC2,0,21454,13173,8851
A0A075B6S3;P06310;A0A075B6S6,IGKV2-30;IGKV2D-30,0,0,0,0
A0A075B6S5,IGKV1-27,0,0,0,0
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6,AMBRA1,2935,0,2400,1224
Q9NVX7;Q9NVX7-2;A0A075B6T4,KBTBD4,34414,25599,31634,34955
A0A075B6T6,TRAV12-2,0,0,0,0
A0A075B6T7,TRAV6,0,0,0,0
A0A075B6V5,,0,0,0,0
A0A075B6W5,,0,0,0,0
A0A075B6Y5,TRAJ47,47299,0,0,0
A0A075B738,PECAM1,0,0,0,0
P82921;A0A075B746,MRPS21,130706,0,84027,39965
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3,PDE4DIP,3114,5627,2303,1614
O00623;A0A075B773;K7ELY8,PEX12,0,2669,0,2441
A0A075B7B8,IGHV3OR16-12,0,0,0,0
A0A075B7D0,IGHV1OR15-1,0,0,0,0
A0A075B7D8,IGHV3OR15-7,0,0,0,0
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2,POM121C,10445,12459,14254,3443
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7,BCL2L12,8062,9203,9127,0
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6,HEL-S-109;NUCB2;Nucb2;DCAF5,35327,75805,36145,7165
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7,TXNRD1;GML,675180,688941,625738,353340
A8MVE2;A0A0B4J1W1;A0A087WSX8,PODNL1,0,0,0,0
Q96IY4;A0A087WSY5;Q96IY4-2,CPB2,13911,8519,11876,22947
A0A087WSY6,,96650,0,0,0
A0A087WT03,,0,0,0,0
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1,GPX4,1042978,979529,922551,567489
Q9NV06;A0A087WT20,DCAF13,103321,86868,61509,75531
Q8N5I9;A0A087WT30,C12orf45,8470,28952,18856,128154
A0A087WT39;V9GYI1,LIME1,0,0,0,0
Q9NQ66;A0A087WT80;A0A087WW73;Q9NQ66-2;A0A0D9SF51;A0A0D9SG17;H0YCJ2,PLCB1,0,0,0,0
Q9H9V9;A0A087WT84;Q9H9V9-2,JMJD4,7462,0,0,0
P08123;A0A087WTA8,COL1A2,475,1370,0,0
A0A087WTJ2;Q96F15;Q96F15-2,GIMAP5,0,2159,945,1102
A0A087WTM7,,0,0,0,0
Q96A57;Q5JWB9;A0A087WTT2;Q96A57-2,TMEM230,0,0,38407,42792
Q8TCU4;A0A087WTU9;A0A087WZY3;Q8TCU4-2,ALMS1,3806,1846,1499,2196
O15318;D6R9U7;A0A087WTV7;D6RIT0;D6RJH6;D6R921,POLR3G,0,0,0,0
A0A087WTW0;Q96T88;A0A087WVR3;Q96T88-2;A0A087WWG9,UHRF1,258067,418001,243300,275422
Q9UKL3;A0A087WTW5,CASP8AP2,37961,0,29793,3915
Q92504;A0A087WTX2,SLC39A7,0,0,0,0
A0A087WTX5,,13370,9513,10252,0
Q96RQ1;A0A087WU02;H0YI50;H0YI58;F8VPA6,ERGIC2;RLN3,20239,18866,10407,51630
A0A087WU05,,0,0,0,0
Q5TGZ0;A0A087WU07;Q5TGZ0-2;R4GNA1,MINOS1;MINOS1-NBL1,0,295446,274416,90695
O75626;A0A087WU16;O75626-2;O75626-3,PRDM1,0,0,0,0
A0A087WU28;A0A0B4J2C1,,0,0,0,0
P02724;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2,GYPA;GPErik,0,0,0,0
Q9H0U3;A0A087WU53,MAGT1,63610,55302,68713,57255
A0A087WU91;A0A0A0MS15,,0,26109,0,0
Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2,CTNNBL1,356524,284227,219135,192133
Q15005;A0A087WUC6;E9PL01;E9PI68,SPCS2,510461,344427,603184,341211
A0A087WUD1,,92141,82628,84844,63600
Q9NRP0;A0A087WUD3;Q9NRP0-2,OSTC,46789,75011,0,40359
P28715;A0A087WUH0,ERCC5,24791,35830,17868,17638
Q7Z4K8;F5GYK0;Q5VT61;A0A0A0MS35;A0A087WUH1;Q7Z4K8-5;Q7Z4K8-2;Q7Z4K8-4;Q7Z4K8-3,TRIM46,0,0,0,0
Q9Y388;A0A087WUI1,RBMX2,38903,29059,1763,31363
Q15661;P20231;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;A0A0C4DGM1,TPSAB1;TPSB2,0,0,0,0
P40305;G3V4U3;Q9H4B1;A0A087WV79;A0A087WUJ8;A0A087WZR1;A8K0H0;A0A087X174,IFI27;P27,0,0,0,0
O14979;A0A087WUK2,HNRNPDL,1322602,1163598,922864,480980
Q3LXA3;A0A087WUL0;H0YCY6;Q3LXA3-2,DAK,471477,418496,402544,292249
A0A087WUL2,,67875,118765,80115,0
A0A087WUM0;P57105,SYNJ2BP,36491,43945,55641,0
P07203;A0A087WUQ6,GPX1,2957134,2292838,2020693,993906
P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4,RPS24,4630065,2656373,3623777,2213249
A0A087WUS7;P01880,IGHD,6045,2841,0,0
O60841;A0A087WUT6,EIF5B,477027,455675,309772,388003
P47974;A0A087WUU9,ZFP36L2,33781,25682,56000,10524
A0A087WUW5,,0,0,0,0
Q9NXU5;A0A087WUW9;A0A0B4J222,ARL15,0,0,6502,0
Q16760-2;A0A087WUZ9;Q16760;H7BZR7,DGKD,0,4246,0,0
Q99417;A0A087WV05,MYCBP,826424,882800,822779,679681
A0A087WV08;A0A075B6X2;B7Z8K6,TRDC,0,0,0,0
Q9NP08;F1T0J4;A0A087WV14,HMX1,0,0,0,0
A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A087X0P3;A0A087WV17;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7,OSCAR,0,0,0,13655
P02810;A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1,PRH1,0,0,0,0
A0A087WV47;P01857;A0A0A0MS07,IGHG1,138864,163698,25865,5433
P46013;A0A087WV66,MKI67,365633,344369,455506,288668
O75352;J3QS48;I3L295;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;I3L1D2;J3KSI4;I3L4E0;J3KTK8;J3QQZ4;I3L405;I3L261,MPDU1;HBEBP2BPA,106561,103950,129960,134326
P62341;A0A087WVA1;Q6IAK0,SELT,0,34648,50147,48708
A0A087WVD1,,0,1223,0,2607
Q9NZM3;A0A087WVF7;Q9NZM3-2;Q9NZM3-4;Q9NZM3-3,ITSN2,41353,68721,47926,48201
O60238;H0YBC7;A0A087WVL5;O60238-2,BNIP3L,3880,0,9039,11793
A0A087WVM2;Q8N6Q3;Q8N6Q3-2,CD177,0,0,0,0
P0C024;H3BRQ8;A0A087WVP7;P0C024-3;P0C024-2,NUDT7,0,0,0,0
Q00610;A0A087WVQ6;Q00610-2,CLTC,3293126,2783307,2564624,1770481
Q9BWW4;A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9NW25,SSBP3,0,0,6346,4409
O00512;A0A087WVU5,BCL9,962,0,631,0
A0A087WVW2,,0,0,0,0
Q5TI65;A0A087WVZ0;Q9Y5U8,BRP44L;MPC1,0,0,0,0
Q96AY4;A0A087WW06,TTC28,0,0,0,4211
A0A087WW07;P35225,IL13,0,0,0,0
A0A087WW14,,13526,26729,22932,0
Q96GU1;A0A087WW37;Q96GU1-2;Q5JUL1,PAGE5,0,0,0,0
P55198;A0A087WW39,MLLT6,1202,1771,1441,1142
A0A087WW58;Q9C0D9,EPT1,0,5051,0,7003
Q14114;Q14114-2;A0A087WW84;Q14114-4;Q14114-3;H0YEV6;E9PP15,LRP8,0,979,0,0
A0A087WW89;A0A0B4J1Y9,,183051,345348,61427,32682
A0A087WWB6,,89774,95079,39314,87077
A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WX49;B9A064;A0A0B4J231;A0A087WU42;A0A087X2A1;A0A075B6K8;P0CG04,IGLL5;IGLC1,918116,663676,453292,139955
A0A087WWF1;Q8WWX9,SELM,0,0,0,0
A0A087WWG8,,0,0,0,1172
Q9NZM4;A0A087WWH3;Q9NZM4-2,GLTSCR1,4714,3373,1943,2436
A0A087WWI0;Q9H2I8,C10orf11,0,0,0,0
P40238;Q5JUY5;A0A087WWJ7;P40238-2,MPL,0,0,0,0
A0A087WWK8;Q6DN90;A0A0C4DGT3;Q6DN90-2,IQSEC1,52437,56908,43859,83294
A0A087WWL5;Q86XI8,C19orf68,0,0,0,0
A0A087WWL9,,217272,324939,28111,213052
Q9P2T1;A0A087WWM4;F8WAN9;Q9P2T1-3;H0YMB3;H0YK13,GMPR2,276237,324065,222310,99254
Q96T37;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3,RBM15,126306,120914,128006,120811
A0A087WWP8;Q5VWQ0;A0A0C4DGT8,RSBN1,34031,28818,24458,31217
A0A087WWQ5;P36575-2;P36575,ARR3,0,0,0,0
Q9BWK5;A0A087WWQ8,MRI,0,0,0,20416
Q96FV9;A0A087WWS1,THOC1,150406,110888,135113,75973
P01562;A0A087WWS6,IFNA1,0,0,0,0
A0A087WWU1;Q96Q45;Q96Q45-2;Q96Q45-5;Q96Q45-3;F2Z329,TMEM237,0,0,0,0
O14595;A0A087WWW2;F8W1I1;F8VYL0,CTDSP2,3106,0,2859,3502
P63302;A0A087WX02;F8WB74,SEPW1,0,0,84085,19310
A0A087WX18,,0,0,0,53575
O14782;F8WAR6;F8WER6;A0A087WX26,KIF3C,0,0,0,0
Q8N5Z5;A0A087WX35;Q8N5Z5-2;H0Y731,KCTD17,0,0,0,0
A0A087WX73,,0,0,0,0
Q9Y274;A0A087WXB8;C9IZL6,ST3GAL6,0,0,0,0
O95299;A0A087WXC5;E7ESZ7;O95299-2;C9J6X0;Q8N1B9,NDUFA10,414365,213647,351464,254967
Q96T83;A0A087WXD1,SLC9A7,12884,17680,15736,7594
A0A087WXE3;H3BS64;A8MYR2;Q9NZV6,MSRB1,0,0,0,0
A0A087WXI0;Q7Z6P3,RAB44,0,85,0,0
Q9Y6R7;A0A087WXI2,FCGBP,0,451,0,0
P12830;A0A087WXI5;P12830-2;A0A087WX17;A0A087WU43,CDH1,0,0,0,0
Q7Z3F1;A0A087WXK4,GPR155,0,0,0,0
Q9H4H8;A0A087WXK8;Q9H4H8-2,FAM83D,0,100706,39572,10011
P41439;A0A087WXL1;A0A087WYI3,FOLR3,0,0,0,0
A0A087WXL6,,61545,78885,84927,57126
A0A087WXL8;A0A075B6N8;P01860,IGHG3,10892,4290,0,31
P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;P18621-2;A0A087WY81,RPL17,5582719,2739170,5324165,1841920
A0A087WXN8;A0A087X1C5;P10635;F5H6E7;H7BY38;E7ENE7;P10635-2,CYP2D6;CYP2D7P,0,24028,0,19605
Q765P7;A0A087WXN9,MTSS1L,1862,0,4012,0
A0A087WXP0,,0,0,0,0
A0A087WXR2;Q9Y365;F5H1Z6;F5H8G1;F5H8H3;F5H0V7;F5GY11,STARD10,0,0,9682,10104
Q5TBB1;A0A087WXR7;Q5TBB1-2,RNASEH2B,192006,260167,185635,135515
Q9NWS8;A0A087WXU0;Q9NWS8-2;Q5SZ82,RMND1,17197,27377,14632,13477
Q8N344;A0A087WXW2;A0A087WZA4,MIER2,0,17187,0,0
A0A087WXW5,,0,0,0,0
Q9NP79;A0A087WY55,VTA1,379935,539951,382202,383303
Q96CW1;Q96CW1-2;A0A087WY71;E9PFW3;C9JJ47,AP2M1,324756,335650,279214,312747
A0A087WY73;Q16378,PRR4,0,0,0,0
P61077;P61077-3;A0A087WY85;P61077-2;D6RFM0;D6RAH7;H9KV45;P62837-2;D6RAW0;D6RA11,UBE2D3;UBE2D2,1447879,2090109,1191666,1976826
Q8N5M9;A0A087WY88,JAGN1,29186,55253,28438,45746
A0A087WYN0;A0A087WY96;P31641,SLC6A6,4859,0,2347,0
A0A087WYC3;A0A087X144;A0A075B6S1,TRBC2,0,0,0,0
A0A087WYC5,,0,0,0,0
Q03519;A0A087WYD6;Q03519-2,TAP2,51197,37633,42697,35799
A0A087WYE1,,0,1978,0,0
A0A087WYE4;E9PS60;E9PJK3,PDE4DIP,0,0,0,0
A0A0B4J2B8;A0A087WYE8;A6NJS3,IGHV1OR21-1,0,0,0,0
Q6UXV4;A0A087WYF7;A0A087WUX8,APOOL,136375,159149,154391,138677
A0A087WYJ9,,0,0,0,0
O75586;G3V4A5;A0A087WYL7,MED6,13136,10716,17550,14473
A0A087WYL9;A0A087WWV8,,1978410,1428249,874947,588856
A0A087WYM9,,0,0,0,0
Q7Z478;A0A087WYN9,DHX29,47299,52998,39075,45232
Q8IZQ5;A0A087WYP2;H0YE28,SELH;C11orf31,1425107,1330045,1647680,1179187
A0A087WYR4,,7413,17788,10790,0
Q9Y5X1;A0A087WYU1,SNX9,269926,284657,240908,224045
A6NCM1;A0A087WYV2,IQCA1P1,0,0,0,0
A0A087WYV9;A0A087X1F5,,92737,133606,178537,193940
A0A087WZ08;A0A087WXP6,,0,25149,0,0
A0A087WZ13;E9PAU2;Q8IY67-2;Q8IY67,RAVER1,291364,340715,360444,338167
O94761;A0A087WZ30;A0A087X072,RECQL4,2226,8002,681,3639
A0A087WZ39,,0,0,0,0
Q8TCT7;Q8TCT7-4;A0A087WZ50;Q8TCT7-3;Q8TCT7-2;A0A087WZ93,SPPL2B,2120,1949,2285,1435
Q6P9G4;A0A087WZ54,TMEM154,0,0,0,12563
A0A087WZ62;Q9H6U8;Q9H6U8-3;H0YCW6;Q9H6U8-2;Q9H6U8-4,ALG9,0,5573,0,2786
A0A087WZB5,,0,0,0,0
P35680;E0YMJ8;A0A087WZC2;P35680-3,HNF1B,8777,2507,0,0
P02549;A0A087WZE4;P02549-2,SPTA1,1603,1014,1177,0
P29966;A0A087WZH7,MARCKS,119804,22123,89410,96
A0A087WZH9;A0A0B4J1U0,,0,0,0,17633
A0A087WZM2;O00584;D6RHI9;D6REQ6;H0YAE9,RNASET2,427164,368617,359287,176547
Q8TBM7;A0A087WZM8;Q8TBM7-2;Q8TBM7-3,TMEM254,0,0,0,0
O43837;A0A087WZN1;O43837-2;A0A087X2E5,IDH3B,648219,857347,607700,465069
Q9UI36;A0A087WZP2;Q9UI36-2;Q9UI36-3;A0A087WY66;A0A087WZA7;Q9UI36-4,DACH1,0,0,0,0
Q86WG5;A0A087WZP7;Q86WG5-3,SBF2,0,3477,1965,950
A0A087WZP9,,7970,0,3966,0
A0A087WZQ7;Q9H115;Q9H115-2;Q9H115-3,NAPB,1708,0,0,0
A0A087WZR4;O75015;H0Y4U3;M9MML6,FCGR3B,254,0,138,0
