genes,bHCsmB_S1R1,bHCsmB_S1R2,bHCsmB_S1R3,bSLEsmB_S1R1,bSLEsmB_S1R2,bSLEsmB_S1R3
ENSG00000000003,1,0,0,2,1,0
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,488,506,482,333,706,355
ENSG00000000457,228,227,78,257,585,258
ENSG00000000460,131,97,31,140,217,43
ENSG00000000938,237,506,163,671,1556,423
ENSG00000000971,0,0,0,3,0,0
ENSG00000001036,96,82,29,95,249,107
ENSG00000001084,522,652,194,456,1134,340
ENSG00000001167,573,605,260,678,1416,623
ENSG00000001460,48,66,33,108,313,92
ENSG00000001461,549,550,129,576,1032,435
ENSG00000001497,706,714,281,486,744,372
ENSG00000001561,253,239,214,289,396,361
ENSG00000001617,0,0,0,0,0,0
ENSG00000001626,0,5,0,11,0,0
ENSG00000001629,869,1193,326,999,1810,671
ENSG00000001630,15,3,6,11,13,4
ENSG00000001631,457,465,351,451,840,246
ENSG00000002016,321,388,128,309,295,335
ENSG00000002079,0,3,0,1,3,0
ENSG00000002330,36,24,11,35,48,25
ENSG00000002549,177,355,65,544,975,365
ENSG00000002586,750,810,264,533,1072,595
ENSG00000002587,107,87,28,127,264,9
ENSG00000002726,4,1,0,0,0,0
ENSG00000002745,284,125,41,207,239,114
ENSG00000002746,0,1,0,3,1,0
ENSG00000002822,12,14,12,6,9,17
ENSG00000002834,978,1440,360,1842,3150,1348
ENSG00000002919,202,346,87,153,371,138
ENSG00000002933,0,0,1,0,0,0
ENSG00000003056,364,529,108,518,619,392
ENSG00000003096,9,4,1,2,6,0
ENSG00000003137,0,14,1,0,1,0
ENSG00000003147,1,11,0,12,16,7
ENSG00000003249,9,22,5,12,7,0
ENSG00000003393,222,281,157,318,516,56
ENSG00000003400,845,1114,252,1101,2534,713
ENSG00000003402,2811,3197,1444,3045,10349,2518
ENSG00000003436,3,1,4,4,2,1
ENSG00000003509,222,316,150,342,439,175
ENSG00000003756,2977,2695,1014,2647,3490,1338
ENSG00000003987,71,47,40,57,222,59
ENSG00000003989,0,0,0,0,0,0
ENSG00000004059,37,42,16,34,51,28
ENSG00000004139,147,82,20,99,128,56
ENSG00000004142,273,392,103,432,768,303
ENSG00000004399,10,18,16,12,10,14
ENSG00000004455,763,825,308,957,1223,617
ENSG00000004468,331,409,110,407,1337,204
ENSG00000004478,242,265,79,253,338,221
ENSG00000004487,1365,1558,634,1189,1882,824
ENSG00000004534,1857,2318,854,2626,2118,1225
ENSG00000004660,9,8,20,53,52,17
ENSG00000004700,415,510,161,645,827,616
ENSG00000004766,608,449,193,457,727,313
ENSG00000004776,0,0,0,0,0,0
ENSG00000004777,10,30,5,13,30,3
ENSG00000004779,174,209,149,210,230,104
ENSG00000004799,1,16,3,3,3,2
ENSG00000004809,1,0,0,0,0,0
ENSG00000004838,9,29,5,28,0,3
ENSG00000004846,1,0,0,0,0,0
ENSG00000004848,0,0,0,0,1,0
ENSG00000004864,280,232,120,196,300,140
ENSG00000004866,58,88,25,39,61,18
ENSG00000004897,552,732,402,926,1403,702
ENSG00000004939,0,0,0,0,0,0
ENSG00000004948,0,0,0,1,0,0
ENSG00000004961,185,176,64,214,245,66
ENSG00000004975,151,264,48,145,141,86
ENSG00000005001,0,0,0,0,0,0
ENSG00000005007,240,400,70,222,338,177
ENSG00000005020,1518,1872,610,2360,3070,1586
ENSG00000005022,1131,1239,318,782,894,772
ENSG00000005059,812,915,484,814,1154,997
ENSG00000005073,0,0,0,0,0,0
ENSG00000005075,47,96,31,64,25,43
ENSG00000005100,191,265,71,173,278,123
ENSG00000005102,0,0,4,0,0,0
ENSG00000005108,2,0,1,3,0,0
ENSG00000005156,516,505,195,253,568,311
ENSG00000005175,604,858,355,985,1522,809
ENSG00000005187,16,40,16,21,3,17
ENSG00000005189,5,0,0,9,0,2
ENSG00000005194,111,131,45,142,243,93
ENSG00000005206,281,377,88,207,197,82
ENSG00000005238,41,77,7,45,74,37
ENSG00000005243,2,1,0,9,0,8
ENSG00000005249,25,4,2,4,5,6
ENSG00000005302,1648,1444,454,1711,2021,952
ENSG00000005339,2419,4040,1548,2872,5663,2415
ENSG00000005379,152,190,76,136,138,92
ENSG00000005381,0,0,0,3,0,0
ENSG00000005421,5,18,0,1,2,12
ENSG00000005436,380,414,206,393,346,243
ENSG00000005448,131,97,39,129,190,81
ENSG00000005469,137,114,95,177,155,108
ENSG00000005471,276,193,48,202,230,75
ENSG00000005483,5070,5421,3422,5099,7989,5353
ENSG00000005486,215,369,95,196,344,230
ENSG00000005513,2,0,0,6,0,0
