genes,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4,smB_S2R1,smB_S2R2,smB_S2R3
ENSG00000000003,0,0,0,0,0,0,0
ENSG00000000005,0,0,0,0,0,0,0
ENSG00000000419,333,281,386,385,291,322,311
ENSG00000000457,307,455,391,361,517,685,320
ENSG00000000460,193,207,63,71,184,122,120
ENSG00000000938,4153,1204,2539,2675,5308,3037,3860
ENSG00000000971,0,0,0,0,1,0,0
ENSG00000001036,238,182,175,143,237,175,160
ENSG00000001084,442,448,423,115,97,46,73
ENSG00000001167,584,728,409,272,647,510,355
ENSG00000001460,191,74,193,131,121,99,139
ENSG00000001461,1370,1244,1099,1055,954,1020,1169
ENSG00000001497,1720,1229,733,926,1042,1027,873
ENSG00000001561,471,384,184,234,374,287,309
ENSG00000001617,0,0,0,0,0,0,0
ENSG00000001626,0,0,0,0,0,0,0
ENSG00000001629,755,541,431,534,710,346,352
ENSG00000001630,49,35,11,31,36,14,19
ENSG00000001631,355,282,186,240,372,267,265
ENSG00000002016,536,347,394,359,479,471,357
ENSG00000002079,0,0,0,0,10,0,6
ENSG00000002330,36,28,41,23,25,32,29
ENSG00000002549,923,572,622,1907,768,611,627
ENSG00000002586,992,1404,1473,1400,658,1126,608
ENSG00000002587,271,270,139,87,133,202,101
ENSG00000002726,17,0,0,0,12,0,0
ENSG00000002745,528,231,329,276,813,675,613
ENSG00000002746,1,0,0,0,0,0,0
ENSG00000002822,71,48,53,64,37,80,44
ENSG00000002834,2927,2260,1556,1577,2949,1201,1989
ENSG00000002919,1445,778,800,461,979,570,877
ENSG00000002933,0,0,14,138,0,3,16
ENSG00000003056,2189,1377,1374,1547,1869,1428,1354
ENSG00000003096,0,32,0,27,21,0,1
ENSG00000003137,0,0,0,0,0,0,0
ENSG00000003147,0,0,2,36,0,22,1
ENSG00000003249,20,11,19,12,112,158,19
ENSG00000003393,218,82,135,199,281,76,136
ENSG00000003400,1604,703,630,704,910,411,798
ENSG00000003402,2439,1745,1229,1397,1694,1638,1220
ENSG00000003436,0,0,0,9,0,0,0
ENSG00000003509,537,430,289,379,441,256,300
ENSG00000003756,3314,2438,2046,1928,2824,2032,2300
ENSG00000003987,52,24,17,28,33,38,28
ENSG00000003989,0,0,0,0,0,0,0
ENSG00000004059,346,253,476,515,276,567,418
ENSG00000004139,84,56,82,54,24,32,48
ENSG00000004142,1258,657,622,990,1321,1043,890
ENSG00000004399,40,68,73,28,81,52,60
ENSG00000004455,2007,1353,1259,1647,1917,1589,1571
ENSG00000004468,575,280,219,375,227,134,411
ENSG00000004478,746,598,199,374,699,450,347
ENSG00000004487,479,369,255,242,374,235,159
ENSG00000004534,6697,6443,5140,4826,5373,7770,4882
ENSG00000004660,105,47,19,68,71,181,53
ENSG00000004700,1512,1295,714,677,1133,1131,775
ENSG00000004766,946,592,565,528,639,394,528
ENSG00000004776,0,0,0,0,0,0,0
ENSG00000004777,21,32,14,36,7,14,4
ENSG00000004779,148,60,117,114,124,86,128
ENSG00000004799,47,6,19,65,68,0,28
ENSG00000004809,0,0,4,0,0,1,4
ENSG00000004838,19,3,28,2,6,10,9
ENSG00000004846,0,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0,0
ENSG00000004864,514,345,221,176,287,140,253
ENSG00000004866,52,32,19,37,88,129,53
ENSG00000004897,617,710,568,433,465,688,619
ENSG00000004939,460,223,50,339,400,274,30
ENSG00000004948,0,0,0,0,0,0,0
ENSG00000004961,378,218,454,393,336,283,369
ENSG00000004975,738,351,340,448,716,543,630
ENSG00000005001,0,0,8,0,0,0,0
ENSG00000005007,194,111,81,98,66,47,60
ENSG00000005020,3218,2916,2283,2581,2706,3380,2629
ENSG00000005022,2299,1994,2590,2507,1563,3104,2393
ENSG00000005059,2042,742,598,1607,1241,1422,955
ENSG00000005073,0,0,0,0,0,0,0
ENSG00000005075,89,58,74,71,117,74,71
ENSG00000005100,137,111,74,141,59,170,54
ENSG00000005102,0,0,0,0,0,0,0
ENSG00000005108,0,0,0,0,0,0,1
ENSG00000005156,539,482,201,286,500,302,239
ENSG00000005175,1093,901,748,576,899,716,582
ENSG00000005187,23,5,32,84,325,504,286
ENSG00000005189,0,0,7,14,13,19,2
ENSG00000005194,735,634,506,468,499,562,530
ENSG00000005206,974,525,825,554,730,642,856
ENSG00000005238,172,134,146,250,139,80,154
ENSG00000005243,0,3,1,0,0,0,3
ENSG00000005249,60,16,8,17,24,69,1
ENSG00000005302,2333,1678,1117,1487,2132,1452,1360
ENSG00000005339,1181,752,597,504,1057,636,498
ENSG00000005379,72,25,136,110,168,10,118
ENSG00000005381,1,0,12,70,0,43,0
ENSG00000005421,0,1,4,0,1,0,6
ENSG00000005436,326,123,129,214,461,411,224
ENSG00000005448,259,263,523,192,228,541,435
ENSG00000005469,255,101,96,123,155,145,127
ENSG00000005471,351,52,117,167,533,500,413
ENSG00000005483,6014,4692,3822,3917,4794,5197,3867
ENSG00000005486,741,696,767,576,548,687,674
ENSG00000005513,0,0,0,0,0,0,0
ENSG00000005700,1222,768,578,718,954,604,658
ENSG00000005801,507,438,418,596,704,526,490
ENSG00000005810,3652,2515,2462,2111,3551,2944,2073
ENSG00000005812,662,553,432,488,711,351,390
ENSG00000005844,2138,1480,1788,1428,1473,1186,1471
ENSG00000005882,299,232,301,343,292,351,306
ENSG00000005884,188,156,171,75,18,10,32
ENSG00000005889,1725,610,892,513,1109,737,952
ENSG00000005893,1417,909,945,1247,1465,1363,1470
ENSG00000005961,129,39,8,104,147,167,6
ENSG00000005981,0,0,0,0,0,0,0
ENSG00000006007,701,565,520,660,632,503,397
ENSG00000006015,585,533,794,457,377,625,511
ENSG00000006016,10,6,2,1,0,3,5
ENSG00000006025,647,474,393,278,457,418,364
ENSG00000006042,0,0,0,0,0,0,0
ENSG00000006047,0,0,0,0,0,0,0
ENSG00000006059,0,0,0,0,0,0,0
ENSG00000006062,1413,1053,706,570,1212,1123,786
ENSG00000006071,0,0,0,0,0,0,1
ENSG00000006116,0,0,0,0,0,0,0
ENSG00000006118,63,35,0,14,111,11,13
ENSG00000006125,3087,2762,1137,1795,1987,1867,1211
ENSG00000006128,0,0,0,0,0,0,0
ENSG00000006194,644,142,272,226,358,194,226
ENSG00000006210,0,0,1,0,0,0,0
ENSG00000006282,755,645,966,709,791,1137,1098
ENSG00000006283,0,0,0,0,0,0,0
ENSG00000006327,0,0,6,0,0,0,1
ENSG00000006377,0,0,0,0,0,0,0
ENSG00000006432,347,175,191,264,221,249,215
ENSG00000006451,641,700,380,407,651,400,299
ENSG00000006453,10,43,1,0,21,0,0
ENSG00000006459,1251,630,595,533,1217,900,478
ENSG00000006468,0,0,0,0,0,0,0
ENSG00000006530,1168,666,637,546,813,512,680
ENSG00000006534,51,118,67,247,53,30,130
ENSG00000006555,176,9,29,95,102,92,83
ENSG00000006576,3161,3693,1731,1693,2539,1585,1402
ENSG00000006606,0,0,0,0,0,0,0
ENSG00000006607,1208,1172,721,801,1595,1328,1360
ENSG00000006611,0,0,0,0,0,0,0
ENSG00000006625,71,62,67,50,40,80,54
ENSG00000006634,422,526,320,345,448,422,314
ENSG00000006638,56,0,15,27,23,7,13
ENSG00000006652,692,474,229,458,925,429,299
ENSG00000006659,0,0,0,0,0,0,0
ENSG00000006695,568,539,548,510,636,621,320
ENSG00000006704,1,0,0,0,2,0,3
ENSG00000006712,1228,865,719,831,1027,1019,731
ENSG00000006715,1517,946,1087,955,1721,1813,1111
ENSG00000006740,79,33,13,32,79,47,37
ENSG00000006744,1635,1199,1275,942,1313,1393,1329
ENSG00000006747,105,159,14,78,28,9,6
ENSG00000006756,194,206,241,100,198,219,184
ENSG00000006757,161,77,114,57,153,83,126
ENSG00000006788,0,0,0,0,0,0,0
ENSG00000006831,472,260,219,321,501,325,229
ENSG00000006837,7,9,17,11,16,4,13
ENSG00000007001,0,0,0,0,0,0,0
ENSG00000007038,22,46,4,23,39,64,10
ENSG00000007047,82,11,16,35,24,36,12
ENSG00000007062,0,0,0,0,1,39,0
ENSG00000007080,81,78,160,163,85,170,112
ENSG00000007129,506,383,364,262,328,225,288
ENSG00000007168,1556,791,860,735,1108,869,761
ENSG00000007171,0,0,0,0,0,0,10
ENSG00000007174,0,0,0,0,0,0,0
ENSG00000007202,1207,984,566,665,1079,788,731
ENSG00000007216,0,0,0,0,0,0,0
ENSG00000007237,209,137,135,273,208,120,161
ENSG00000007255,169,99,161,110,124,179,150
ENSG00000007264,4,5,42,0,18,16,24
ENSG00000007306,0,0,0,0,0,0,0
