uniprot,symbol,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4
A0A024QZX5;A0A087X1N8,SERPINB6,0,0,0,0
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8,CEACAM5,0,0,0,0
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6,NRP2,4962,1154,0,3399
A0A024R4E5;Q00341;Q00341-2;H0Y394,HDLBP,313745,220850,192095,154530
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2,TMPIT;TMEM120A,5098,12041,11631,10556
O94956;A0A0A0MTF1;E9PRW4;A0A024R5I4;O94956-2;O94956-4;O94956-3,SLCO2B1,0,0,0,0
O75503;A0A024R644;A0A087WZY0,CLN5,7540,7839,8224,11442
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4,ELOF1,318529,196196,138407,101360
A0A024RAC6;Q14241,TCEB3,80307,31907,28235,52973
P26718;A0A024RAP8,KLRK1;hCG_2009644,0,0,0,15877
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1,ZSCAN26;ZNF187,0,1716,0,4018
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4,ATP11C,18828,7731,4647,13736
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2,DMD,998,2789,1577,708
A0A075B6I0,IGLV8-61,71104,55872,35102,33329
A0A075B6I2;P06318;P06319,IGLV6-57,0,0,0,0
A0A075B6I5;P01702;P06316,IGLV1-51,49534,81175,75727,15914
A0A075B6I8,IGLV1-47,51681,76514,120511,25749
A0A075B6I9;A0A0B4J1U2;P04211,IGLV7-46,18278,21863,0,8685
A0A075B6J0,IGLV1-40,44909,0,56780,25604
A0A075B6J3,IGLV3-27,0,0,0,0
A0A075B6J4,IGLV3-25,11889,17972,130562,27176
A0A075B6J5;P01705,IGLV2-23,0,0,0,0
A0A075B6J7,IGLV3-21,76091,54002,108918,24748
A0A075B6J8,IGLV3-19,43434,22194,54289,23335
A0A075B6J9,IGLV2-18,0,0,0,0
A0A075B6K1,IGLV2-14,132902,33754,84569,35529
A0A075B6K4,IGLV3-10,0,12801,23804,24309
A0A075B6K5,IGLV3-9,23439,53717,147293,63416
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06,IGLC2;IGLC3,66074,547268,531839,530672
A0A075B6L1;A0M8Q6,IGLC7,0,0,0,0
A0A075B6L6,TRBV7-3,0,0,0,0
A0A075B6N1,TRBV19,0,0,0,0
A0A075B6N2,TRBV20-1,0,0,0,0
A0A075B6Q5,IGHV3-64,0,0,5385,0
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614,IGKV2D-40,0,0,0,0
A0A075B6R6;A0A087WWX3;P03986,TRGC2,17360,0,0,0
A0A075B6S3;P06310;A0A075B6S6,IGKV2-30;IGKV2D-30,0,0,41019,0
A0A075B6S5,IGKV1-27,0,0,0,0
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6,AMBRA1,2231,0,0,1199
Q9NVX7;Q9NVX7-2;A0A075B6T4,KBTBD4,20873,19831,8594,21124
A0A075B6T6,TRAV12-2,0,0,0,0
A0A075B6T7,TRAV6,0,0,0,0
A0A075B6V5,,0,0,0,0
A0A075B6W5,,0,0,0,0
A0A075B6Y5,TRAJ47,0,0,0,0
A0A075B738,PECAM1,0,0,0,0
P82921;A0A075B746,MRPS21,97379,89164,68993,33513
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3,PDE4DIP,5194,3007,2451,3305
O00623;A0A075B773;K7ELY8,PEX12,0,0,11037,5043
A0A075B7B8,IGHV3OR16-12,0,0,19750,0
A0A075B7D0,IGHV1OR15-1,0,0,0,0
A0A075B7D8,IGHV3OR15-7,0,0,0,0
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2,POM121C,5581,6221,12748,12273
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7,BCL2L12,0,0,5108,0
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6,HEL-S-109;NUCB2;Nucb2;DCAF5,73327,60247,55431,9303
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7,TXNRD1;GML,566893,465436,303390,315916
A8MVE2;A0A0B4J1W1;A0A087WSX8,PODNL1,0,0,0,0
Q96IY4;A0A087WSY5;Q96IY4-2,CPB2,13997,0,0,22174
A0A087WSY6,,138999,0,0,0
A0A087WT03,,0,0,0,7664
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1,GPX4,689843,793606,493100,645246
Q9NV06;A0A087WT20,DCAF13,131259,105228,47508,91235
Q8N5I9;A0A087WT30,C12orf45,0,9205,6933,0
A0A087WT39;V9GYI1,LIME1,12349,0,0,11870
Q9NQ66;A0A087WT80;A0A087WW73;Q9NQ66-2;A0A0D9SF51;A0A0D9SG17;H0YCJ2,PLCB1,0,0,0,0
Q9H9V9;A0A087WT84;Q9H9V9-2,JMJD4,11740,0,2806,0
P08123;A0A087WTA8,COL1A2,0,0,0,0
A0A087WTJ2;Q96F15;Q96F15-2,GIMAP5,0,3163,1093,639
A0A087WTM7,,0,0,0,0
Q96A57;Q5JWB9;A0A087WTT2;Q96A57-2,TMEM230,0,0,0,0
Q8TCU4;A0A087WTU9;A0A087WZY3;Q8TCU4-2,ALMS1,2225,1698,1182,3313
O15318;D6R9U7;A0A087WTV7;D6RIT0;D6RJH6;D6R921,POLR3G,0,0,0,0
A0A087WTW0;Q96T88;A0A087WVR3;Q96T88-2;A0A087WWG9,UHRF1,158531,120520,56569,75526
Q9UKL3;A0A087WTW5,CASP8AP2,27256,20605,0,788
Q92504;A0A087WTX2,SLC39A7,0,0,0,0
A0A087WTX5,,0,17393,25187,11072
Q96RQ1;A0A087WU02;H0YI50;H0YI58;F8VPA6,ERGIC2;RLN3,52008,10794,12842,57352
A0A087WU05,,0,0,0,0
Q5TGZ0;A0A087WU07;Q5TGZ0-2;R4GNA1,MINOS1;MINOS1-NBL1,0,0,0,75549
O75626;A0A087WU16;O75626-2;O75626-3,PRDM1,0,0,0,0
A0A087WU28;A0A0B4J2C1,,0,0,0,0
P02724;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2,GYPA;GPErik,0,0,0,0
Q9H0U3;A0A087WU53,MAGT1,69470,40393,63225,50414
A0A087WU91;A0A0A0MS15,,39519,0,61971,7219
Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2,CTNNBL1,376078,214614,121478,195536
Q15005;A0A087WUC6;E9PL01;E9PI68,SPCS2,644289,410478,467553,508080
A0A087WUD1,,57086,68916,66780,79455
Q9NRP0;A0A087WUD3;Q9NRP0-2,OSTC,34235,0,66928,131455
P28715;A0A087WUH0,ERCC5,22662,10259,6695,14986
Q7Z4K8;F5GYK0;Q5VT61;A0A0A0MS35;A0A087WUH1;Q7Z4K8-5;Q7Z4K8-2;Q7Z4K8-4;Q7Z4K8-3,TRIM46,0,0,0,0
Q9Y388;A0A087WUI1,RBMX2,28308,6833,10563,13469
Q15661;P20231;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;A0A0C4DGM1,TPSAB1;TPSB2,0,0,0,0
P40305;G3V4U3;Q9H4B1;A0A087WV79;A0A087WUJ8;A0A087WZR1;A8K0H0;A0A087X174,IFI27;P27,0,0,0,0
O14979;A0A087WUK2,HNRNPDL,1182703,772778,507330,571323
Q3LXA3;A0A087WUL0;H0YCY6;Q3LXA3-2,DAK,524496,348508,238179,283975
A0A087WUL2,,57845,28486,12992,10581
A0A087WUM0;P57105,SYNJ2BP,17142,15365,12021,23798
P07203;A0A087WUQ6,GPX1,1632781,1516329,1017520,597106
P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4,RPS24,3994463,3339206,1881067,2964698
A0A087WUS7;P01880,IGHD,0,0,0,0
O60841;A0A087WUT6,EIF5B,414466,343496,247673,240002
P47974;A0A087WUU9,ZFP36L2,31186,30062,24333,19884
A0A087WUW5,,0,0,0,0
Q9NXU5;A0A087WUW9;A0A0B4J222,ARL15,0,0,0,0
Q16760-2;A0A087WUZ9;Q16760;H7BZR7,DGKD,0,0,0,0
Q99417;A0A087WV05,MYCBP,771400,534013,203997,448251
A0A087WV08;A0A075B6X2;B7Z8K6,TRDC,0,0,0,0
Q9NP08;F1T0J4;A0A087WV14,HMX1,0,0,0,0
A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A087X0P3;A0A087WV17;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7,OSCAR,0,0,0,0
P02810;A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1,PRH1,0,0,0,0
A0A087WV47;P01857;A0A0A0MS07,IGHG1,376588,148902,422887,396433
P46013;A0A087WV66,MKI67,342291,257834,119280,95997
O75352;J3QS48;I3L295;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;I3L1D2;J3KSI4;I3L4E0;J3KTK8;J3QQZ4;I3L405;I3L261,MPDU1;HBEBP2BPA,95592,103844,91199,219034
P62341;A0A087WVA1;Q6IAK0,SELT,79005,31419,54580,104666
A0A087WVD1,,5155,0,0,6790
Q9NZM3;A0A087WVF7;Q9NZM3-2;Q9NZM3-4;Q9NZM3-3,ITSN2,48959,51985,20986,44104
O60238;H0YBC7;A0A087WVL5;O60238-2,BNIP3L,6919,0,8505,0
A0A087WVM2;Q8N6Q3;Q8N6Q3-2,CD177,0,0,0,0
P0C024;H3BRQ8;A0A087WVP7;P0C024-3;P0C024-2,NUDT7,0,0,0,0
Q00610;A0A087WVQ6;Q00610-2,CLTC,2514103,2132120,1393091,1452387
Q9BWW4;A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9NW25,SSBP3,0,0,0,5629
O00512;A0A087WVU5,BCL9,506,616,0,490
A0A087WVW2,,0,0,0,0
Q5TI65;A0A087WVZ0;Q9Y5U8,BRP44L;MPC1,0,0,0,0
Q96AY4;A0A087WW06,TTC28,0,0,0,0
A0A087WW07;P35225,IL13,0,0,0,0
A0A087WW14,,0,9040,0,0
Q96GU1;A0A087WW37;Q96GU1-2;Q5JUL1,PAGE5,0,0,0,0
P55198;A0A087WW39,MLLT6,1963,1292,1272,2116
A0A087WW58;Q9C0D9,EPT1,5637,0,1971,0
Q14114;Q14114-2;A0A087WW84;Q14114-4;Q14114-3;H0YEV6;E9PP15,LRP8,0,997,0,0
A0A087WW89;A0A0B4J1Y9,,350312,465753,899269,394130
A0A087WWB6,,56927,48375,29186,76818
A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WX49;B9A064;A0A0B4J231;A0A087WU42;A0A087X2A1;A0A075B6K8;P0CG04,IGLL5;IGLC1,1236447,1406616,1515964,995475
A0A087WWF1;Q8WWX9,SELM,0,0,0,8189
A0A087WWG8,,430,0,1551,0
Q9NZM4;A0A087WWH3;Q9NZM4-2,GLTSCR1,0,1681,3524,1420
A0A087WWI0;Q9H2I8,C10orf11,0,0,0,0
P40238;Q5JUY5;A0A087WWJ7;P40238-2,MPL,0,0,0,0
A0A087WWK8;Q6DN90;A0A0C4DGT3;Q6DN90-2,IQSEC1,72047,48617,47630,80568
A0A087WWL5;Q86XI8,C19orf68,0,0,4719,0
A0A087WWL9,,57379,105375,225095,485097
Q9P2T1;A0A087WWM4;F8WAN9;Q9P2T1-3;H0YMB3;H0YK13,GMPR2,247046,197072,130175,130323
Q96T37;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3,RBM15,121093,84135,83797,76576
A0A087WWP8;Q5VWQ0;A0A0C4DGT8,RSBN1,33951,11930,7593,23125
A0A087WWQ5;P36575-2;P36575,ARR3,0,0,0,10104
Q9BWK5;A0A087WWQ8,MRI,0,0,0,0
Q96FV9;A0A087WWS1,THOC1,112865,85713,55381,60677
P01562;A0A087WWS6,IFNA1,0,0,0,0
A0A087WWU1;Q96Q45;Q96Q45-2;Q96Q45-5;Q96Q45-3;F2Z329,TMEM237,0,0,0,0
O14595;A0A087WWW2;F8W1I1;F8VYL0,CTDSP2,0,0,0,0
P63302;A0A087WX02;F8WB74,SEPW1,77340,0,31549,15498
A0A087WX18,,0,0,0,23925
O14782;F8WAR6;F8WER6;A0A087WX26,KIF3C,0,0,0,0
Q8N5Z5;A0A087WX35;Q8N5Z5-2;H0Y731,KCTD17,0,0,0,2272
A0A087WX73,,0,0,0,0
Q9Y274;A0A087WXB8;C9IZL6,ST3GAL6,0,0,0,3181
O95299;A0A087WXC5;E7ESZ7;O95299-2;C9J6X0;Q8N1B9,NDUFA10,342769,255111,137081,180954
Q96T83;A0A087WXD1,SLC9A7,11865,5020,3205,6366
A0A087WXE3;H3BS64;A8MYR2;Q9NZV6,MSRB1,0,0,0,0
A0A087WXI0;Q7Z6P3,RAB44,31,46,186,0
Q9Y6R7;A0A087WXI2,FCGBP,0,0,0,218
P12830;A0A087WXI5;P12830-2;A0A087WX17;A0A087WU43,CDH1,0,0,0,633
Q7Z3F1;A0A087WXK4,GPR155,0,0,0,0
Q9H4H8;A0A087WXK8;Q9H4H8-2,FAM83D,47568,0,0,70267
P41439;A0A087WXL1;A0A087WYI3,FOLR3,0,0,0,0
A0A087WXL6,,75854,59211,40487,64103
A0A087WXL8;A0A075B6N8;P01860,IGHG3,32874,32362,110205,50034
P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;P18621-2;A0A087WY81,RPL17,5088556,3457455,1874269,2148073
A0A087WXN8;A0A087X1C5;P10635;F5H6E7;H7BY38;E7ENE7;P10635-2,CYP2D6;CYP2D7P,0,0,10449,0
Q765P7;A0A087WXN9,MTSS1L,1827,0,0,0
A0A087WXP0,,0,0,0,0
A0A087WXR2;Q9Y365;F5H1Z6;F5H8G1;F5H8H3;F5H0V7;F5GY11,STARD10,0,0,14259,0
Q5TBB1;A0A087WXR7;Q5TBB1-2,RNASEH2B,158542,202663,84573,150096
Q9NWS8;A0A087WXU0;Q9NWS8-2;Q5SZ82,RMND1,15262,11354,8789,16008
Q8N344;A0A087WXW2;A0A087WZA4,MIER2,0,0,1584,0
A0A087WXW5,,0,0,0,0
Q9NP79;A0A087WY55,VTA1,448637,321700,253305,213365
Q96CW1;Q96CW1-2;A0A087WY71;E9PFW3;C9JJ47,AP2M1,332093,267582,205047,200004
A0A087WY73;Q16378,PRR4,0,0,0,0
P61077;P61077-3;A0A087WY85;P61077-2;D6RFM0;D6RAH7;H9KV45;P62837-2;D6RAW0;D6RA11,UBE2D3;UBE2D2,1259265,1022361,576258,578982
Q8N5M9;A0A087WY88,JAGN1,30897,20292,10774,0
A0A087WYN0;A0A087WY96;P31641,SLC6A6,999,0,0,0
A0A087WYC3;A0A087X144;A0A075B6S1,TRBC2,0,0,0,0
A0A087WYC5,,0,0,0,5185
Q03519;A0A087WYD6;Q03519-2,TAP2,56390,69272,84261,253999
A0A087WYE1,,0,0,0,0
A0A087WYE4;E9PS60;E9PJK3,PDE4DIP,0,0,0,0
A0A0B4J2B8;A0A087WYE8;A6NJS3,IGHV1OR21-1,0,0,0,0
Q6UXV4;A0A087WYF7;A0A087WUX8,APOOL,233030,142729,94073,207771
A0A087WYJ9,,0,0,0,0
O75586;G3V4A5;A0A087WYL7,MED6,23465,22752,9736,12133
A0A087WYL9;A0A087WWV8,,3226377,3310522,4591879,1878893
A0A087WYM9,,0,0,0,0
Q7Z478;A0A087WYN9,DHX29,51398,41407,39311,47897
Q8IZQ5;A0A087WYP2;H0YE28,SELH;C11orf31,1455531,1263825,735575,881508
A0A087WYR4,,11071,42933,47906,22356
Q9Y5X1;A0A087WYU1,SNX9,229555,189951,137879,151169
A6NCM1;A0A087WYV2,IQCA1P1,0,0,0,0
A0A087WYV9;A0A087X1F5,,95656,77918,44407,74281
A0A087WZ08;A0A087WXP6,,0,0,0,26238
A0A087WZ13;E9PAU2;Q8IY67-2;Q8IY67,RAVER1,310091,213493,134695,160326
O94761;A0A087WZ30;A0A087X072,RECQL4,767,1360,605,0
A0A087WZ39,,0,0,0,0
Q8TCT7;Q8TCT7-4;A0A087WZ50;Q8TCT7-3;Q8TCT7-2;A0A087WZ93,SPPL2B,1836,0,0,2610
Q6P9G4;A0A087WZ54,TMEM154,0,25728,12929,0
A0A087WZ62;Q9H6U8;Q9H6U8-3;H0YCW6;Q9H6U8-2;Q9H6U8-4,ALG9,4216,0,2879,3547
A0A087WZB5,,0,0,0,0
P35680;E0YMJ8;A0A087WZC2;P35680-3,HNF1B,4120,0,0,0
P02549;A0A087WZE4;P02549-2,SPTA1,1581,0,0,0
P29966;A0A087WZH7,MARCKS,168535,98276,26666,3465
A0A087WZH9;A0A0B4J1U0,,0,25339,30096,15199
A0A087WZM2;O00584;D6RHI9;D6REQ6;H0YAE9,RNASET2,599929,324820,207814,144640
Q8TBM7;A0A087WZM8;Q8TBM7-2;Q8TBM7-3,TMEM254,0,0,0,10773
O43837;A0A087WZN1;O43837-2;A0A087X2E5,IDH3B,728072,548296,460225,575871
Q9UI36;A0A087WZP2;Q9UI36-2;Q9UI36-3;A0A087WY66;A0A087WZA7;Q9UI36-4,DACH1,3799,0,0,0
Q86WG5;A0A087WZP7;Q86WG5-3,SBF2,0,2470,1691,0
A0A087WZP9,,1412,5395,6288,8466
A0A087WZQ7;Q9H115;Q9H115-2;Q9H115-3,NAPB,0,0,0,0
A0A087WZR4;O75015;H0Y4U3;M9MML6,FCGR3B,287,0,0,337
Q9BY67;A0A087X0T8;A0A087X105;A0A087WZW4;A0A087X1W8;A0A0A0MTJ8;A0A087WZR6;X5DQS5;Q9BY67-2;Q9BY67-5;Q9BY67-4;Q9BY67-3;F5H125;H0YG94,CADM1,0,0,0,0
