Gene Symbol,Gene ID,Ensembl Gene ID
SERPINB6,5269,ENSG00000124570
CEACAM5,1048,ENSG00000105388
NRP2,8828,ENSG00000118257
HDLBP,3069,ENSG00000115677
SLCO2B1,11309,ENSG00000137491
CLN5,1203,ENSG00000102805
ELOF1,84337,ENSG00000130165
TCEB3,,-
ATP11C,286410,ENSG00000101974
DMD,1756,ENSG00000198947
IGLV8-61,28774,ENSG00000211638
IGLV6-57,28778,ENSG00000211640
IGLV1-51,28820,ENSG00000211644
IGLV1-47,28822,ENSG00000211648
IGLV7-46,28775,ENSG00000211649
IGLV1-40,28825,ENSG00000211653
IGLV3-27,28791,ENSG00000211658
IGLV3-25,28793,ENSG00000211659
IGLV2-23,28813,ENSG00000211660
IGLV3-21,28796,ENSG00000211662
IGLV3-19,28797,ENSG00000211663
IGLV2-18,28814,ENSG00000211664
IGLV2-14,28815,ENSG00000211666
IGLV3-10,28803,ENSG00000211669
IGLV3-9,28804,ENSG00000211670
IGLC7,28834,ENSG00000211685
TRBV7-3,28595,ENSG00000211714
TRBV19,28568,ENSG00000211746
TRBV20-1,28567,ENSG00000211747
IGHV3-64,28414,ENSG00000223648
IGKV2D-40,28878,ENSG00000251039
TRGC2,6967,ENSG00000227191
IGKV1-27,28935,ENSG00000244575
AMBRA1,55626,ENSG00000110497
KBTBD4,55709,ENSG00000123444//ENSG00000284900
TRAV12-2,28673,ENSG00000211789
TRAV6,6956,ENSG00000211780
nan,,-
nan,,-
TRAJ47,28708,ENSG00000211842
PECAM1,5175,ENSG00000261371
MRPS21,54460,ENSG00000266472
PDE4DIP,9659,ENSG00000178104
PEX12,5193,ENSG00000108733
IGHV3OR16-12,28304,-
IGHV1OR15-1,388077,-
IGHV3OR15-7,28318,-
POM121C,100101267,ENSG00000272391
BCL2L12,83596,ENSG00000126453
PODNL1,79883,ENSG00000132000//ENSG00000288195
CPB2,1361,ENSG00000080618
nan,,-
nan,,-
GPX4,2879,ENSG00000167468
DCAF13,25879,ENSG00000164934
C12orf45,121053,ENSG00000151131
LIME1,54923,ENSG00000203896
PLCB1,23236,ENSG00000182621
JMJD4,65094,ENSG00000081692
COL1A2,1278,ENSG00000164692
GIMAP5,55340,ENSG00000196329
nan,,-
TMEM230,29058,ENSG00000089063
ALMS1,7840,ENSG00000116127
POLR3G,10622,ENSG00000113356
UHRF1,29128,ENSG00000276043
CASP8AP2,9994,ENSG00000288475//ENSG00000118412
SLC39A7,7922,ENSG00000206288//ENSG00000224399//ENSG00000227402//ENSG00000229802//ENSG00000226614//ENSG00000112473
nan,,-
nan,,-
PRDM1,639,ENSG00000057657
nan,,-
MAGT1,84061,ENSG00000102158
nan,,-
CTNNBL1,56259,ENSG00000132792
SPCS2,9789,ENSG00000118363
nan,,-
OSTC,58505,ENSG00000198856
