"GSM60349.CEL.gz","GSM60350.CEL.gz","GSM60351.cel.gz","GSM60352.cel.gz","GSM60353.cel.gz","GSM60354.CEL.gz","GSM60355.CEL.gz","GSM60356.CEL.gz","GSM60357.CEL.gz","GSM60358.CEL.gz","GSM60359.CEL.gz","GSM60360.CEL.gz","GSM60361.CEL.gz","GSM60362.CEL.gz","GSM60363.CEL.gz","GSM60364.CEL.gz","GSM60365.CEL.gz","GSM60366.CEL.gz","GSM60367.CEL.gz","GSM60368.CEL.gz","GSM60369.CEL.gz","GSM60370.CEL.gz","GSM60371.CEL.gz","GSM60372.CEL.gz","GSM60373.CEL.gz","GSM60374.CEL.gz","GSM60375.CEL.gz","GSM60376.CEL.gz","GSM60377.CEL.gz","GSM60378.CEL.gz","GSM60379.CEL.gz","GSM60380.CEL.gz","GSM60381.CEL.gz"
"3189",13.13868296,13.13935389,13.02630548,13.01090859,13.16608835,13.05737923,13.14650838,13.02669445,13.17572603,13.04228396,13.59171657,13.22365419,13.19238768,13.52415372,13.48429374,13.3450863,13.65245231,13.46631249,13.43732338,13.40506678,13.51346285,13.47595547,13.56054487,13.5918838,13.52186887,13.60400029,13.61813744,13.57860423,13.60810983,13.65580455,13.6063455,13.57806982,13.6241165
"10348",13.25419669,13.27594975,13.16483428,13.22147265,13.25995499,13.25665584,13.24835046,13.27001507,13.2191382,13.2122722,13.34064855,12.97700451,13.0254133,13.20459186,13.08055779,13.11311849,13.26652383,13.1358296,13.18284339,13.29599414,13.09044636,13.09913361,13.26884826,13.26529086,13.21090907,13.29133545,13.21768244,13.25618539,13.24213598,13.23471719,13.33309661,13.35249332,13.28426771
"10372",12.96557474,13.09671061,13.16586476,13.07687241,13.13909163,13.07347609,13.18464986,13.05243281,13.15599846,13.26697164,13.18886282,13.20050956,13.17172812,13.12681095,13.13921524,13.21574068,13.24030446,13.29611061,13.27437973,13.27919985,13.27373311,13.22686299,13.24517858,13.25896287,13.25251892,13.19491684,13.19336302,13.2464421,13.17995069,13.19933097,13.20799813,13.20589007,13.16320186
"6502|31464|36809|31463|32591|10107",12.90144341,12.99557726,13.03893108,13.06232098,13.00285969,12.98447656,12.91652981,13.01981981,12.91971056,13.04769192,13.14056827,13.26707573,13.16290525,13.27070907,13.3132426,13.32155455,13.19063891,13.39165359,13.36647243,13.30853742,13.412272,13.40037179,13.24879314,13.18499648,13.18213752,13.15218441,13.00301834,13.17689891,13.09493512,13.04196622,13.02049896,13.06393572,13.05826308
"10397",13.01844725,13.03233515,12.95155289,13.0977956,13.01265693,13.10557867,13.00877941,13.06019315,13.02062271,13.00318703,13.18595854,12.85575893,12.79406523,13.05779383,12.95729624,12.98606227,13.14152441,12.9915095,13.05725239,13.0357214,13.03687306,12.93970037,13.19861294,13.09440888,13.09823233,13.07870924,13.04310029,13.1158788,13.08987603,13.05369457,13.08346525,13.04576311,13.05909206
"4141",12.32155262,12.96729545,12.5864393,13.00311426,12.5800454,12.93086894,12.65071279,13.12336514,12.2231633,12.74463321,12.35136727,13.68149514,13.62001135,13.75488392,13.51152045,13.7406136,12.27722689,13.54182675,13.68171976,13.64416883,13.6234276,13.54079442,12.23338187,13.26891639,12.82333422,12.98599824,12.65894714,13.07897921,12.98204456,12.77847647,12.47916437,12.65187131,12.70891969
"10401",13.11125878,12.97536336,13.05621105,13.06861265,13.06790978,13.06668797,13.10814503,13.06470736,13.08287077,12.93887435,13.01863263,12.67134668,12.69094708,12.84661885,12.83859144,12.81252143,12.98683326,12.88049704,12.97469989,12.93986565,12.85988035,12.9011147,13.10540003,12.91152965,12.90762056,12.92011233,13.01768058,12.94424954,12.92668482,12.96389122,13.01257351,12.97482328,12.99614635
"10349",12.90334859,12.99938708,13.03724788,13.02235316,13.07321253,12.95492297,13.03645929,13.02661763,12.94610381,12.9391951,13.04701039,12.76316473,12.83203744,12.68855568,12.76082412,12.97372656,13.10654742,12.64428623,12.6482856,12.71138952,12.69471975,12.69371177,13.10011979,13.00660524,12.99094154,12.96934633,13.01185603,12.94502782,12.94743399,12.97031615,12.9921549,12.99384345,12.92590937
"10404|10221",12.77669138,12.5737328,13.15868386,12.72760553,13.05492238,12.64561266,12.85873629,12.77570817,12.84379827,13.10209824,13.01655301,12.83708368,12.81517571,13.04223271,13.03319854,12.96926146,12.94670198,13.11627989,13.16442877,13.20605295,13.10654647,13.0781412,12.96952835,12.77609702,12.77213634,12.78200445,12.84604104,12.79805397,12.78417457,12.88333667,12.8763417,12.89842385,12.83275321
"914",12.71772343,12.93736872,12.78493577,12.92044541,12.76003913,12.9833966,12.72491768,12.92410888,12.80336385,12.984027,12.72291266,12.39718765,12.56194038,12.80321685,13.00211869,12.63969461,12.94475353,12.80686657,12.74902237,12.84150222,12.97837022,12.98904743,12.55242989,13.04217783,13.03211644,12.99758091,12.66181938,13.03220386,13.05872986,12.71016985,12.63564054,12.7051342,12.70908865
