"GSM60733.CEL.gz","GSM60734.CEL.gz","GSM60735.CEL.gz","GSM60736.CEL.gz","GSM60737.CEL.gz","GSM60738.CEL.gz","GSM60739.CEL.gz","GSM60740.CEL.gz","GSM60741.CEL.gz","GSM60742.CEL.gz","GSM60743.CEL.gz","GSM60744.CEL.gz","GSM60745.CEL.gz","GSM60746.CEL.gz","GSM60747.CEL.gz","GSM60748.CEL.gz","GSM60749.CEL.gz","GSM60750.CEL.gz","GSM60751.CEL.gz","GSM60752.CEL.gz","GSM60753.CEL.gz","GSM60754.CEL.gz","GSM60755.CEL.gz","GSM60756.CEL.gz","GSM60757.CEL.gz","GSM60758.CEL.gz","GSM60759.CEL.gz","GSM60760.CEL.gz","GSM60761.CEL.gz","GSM60762.CEL.gz","GSM60763.CEL.gz","GSM60764.CEL.gz","GSM60765.CEL.gz","GSM60766.CEL.gz"
"18144",1.947961321,1.970194605,2.037823693,1.84798573,1.998270959,1.972631245,1.986925234,1.816469661,1.779676718,2.015832018,1.931447445,2.115943726,1.983021164,1.998799502,2.054871268,1.973498277,1.954164762,2.062345502,1.913381052,1.864478172,1.76617911,1.867625926,2.001790704,2.113279408,2.049149479,2.140569762,1.966170977,1.940552903,1.952241204,1.929438829,2.058254456,2.17486629,2.182474792,2.042369645
"11754",1.899242825,1.880385081,1.93377812,2.067624211,1.954090554,1.983370759,1.765063322,1.985650935,1.912659484,1.961018826,1.969334959,2.054543543,2.182408162,2.094465867,1.982968703,2.02978017,1.813752782,1.972173863,2.083450663,1.997143146,2.078250029,1.950995258,2.066838664,1.998270615,1.975252962,1.961954564,1.915289568,2.013746272,2.104135851,1.926928097,1.985664475,1.964552144,1.999717176,2.089953827
"11595",1.914345819,2.000078708,2.044466061,1.968652923,2.016212372,2.080981471,1.978508074,1.999171407,1.898675572,1.932458944,2.018577513,2.239486826,2.149290003,1.932292558,2.025274648,1.991094034,2.075892173,2.05952794,2.045241298,2.065243611,2.146568017,2.023928145,2.040440535,1.858974461,2.047996426,1.968892923,1.815398738,2.114263915,1.929241322,2.054940041,1.877942452,2.123792815,2.087118122,2.134276864
"43691",1.996281671,2.012157819,1.976213807,2.026153032,1.83403494,2.087252483,1.936170496,2.112652592,2.01934179,2.028672773,1.908442677,2.14893553,1.990278174,1.992017529,2.119171413,2.08446805,1.942948715,2.002025959,2.075073652,1.949802256,2.342897603,2.109012336,2.115435969,2.086128325,1.872050562,2.018816675,1.931451257,2.184142485,1.993580034,1.840183933,2.033365508,2.02558104,2.056098563,2.07863595
"3687",2.171839441,1.983241532,2.034341075,2.022831961,1.953134176,1.982248783,2.019080925,2.042615439,2.105093212,2.018336259,1.801460104,2.047008323,2.205085985,2.178700565,2.028429102,2.063999244,2.012919248,1.853723257,2.046644402,1.93710691,1.910527856,2.034658643,2.02138642,1.972002001,2.106720608,2.034615799,1.995745904,2.10629,2.137628831,2.0684669,2.111699271,2.011267325,2.006804879,2.095226562
"48583",2.020623831,2.020623831,2.032189451,2.125981605,2.126803389,2.025625876,1.942438333,1.85166221,1.922978055,2.047358181,2.019464227,2.19324133,2.118997877,1.902000432,2.033917671,1.941619825,2.166713673,1.974374212,2.12000018,2.048689569,2.176955169,1.974826019,1.993013289,2.008859991,2.042276676,2.067032549,1.946303984,2.061132869,2.026386724,2.107362575,2.064100001,2.033601895,2.080257328,2.100722081
"27365",2.028688356,2.213489641,2.034433465,2.131515222,2.081734165,2.095542409,2.03542399,1.990569968,2.012539563,1.936581419,2.087114942,2.047837183,2.222297769,1.965946177,2.120157268,2.031731882,2.050387895,2.052031531,2.03530641,1.881240316,1.987885113,2.261795687,2.023905639,1.83978527,1.982030677,2.03411459,2.028688356,2.035625285,2.068279871,2.032110818,2.006675461,2.13321016,2.003624483,1.916991086
"15664",1.962528061,1.83046363,2.060292857,2.16090446,2.053556667,1.942810437,1.810446135,1.960818032,2.129670836,1.888886808,1.916328096,2.114299306,1.93058704,2.104792751,1.909424831,2.093808118,2.165752126,2.045852801,2.106749134,2.12492769,2.030679025,1.962011153,2.030612915,2.03785839,2.308672762,2.107177277,1.960376698,2.088464458,2.249183299,2.156968082,2.053199053,2.133449512,2.071900477,2.101063612
"4477",2.005620935,1.966673596,2.094490056,2.121968184,2.136087196,2.126890921,1.959032513,1.969296618,1.858896224,2.000943933,2.019293002,2.228337308,2.158830175,2.204768048,2.020190859,1.982340065,2.142563758,2.238591722,2.142169024,2.030130921,2.089041191,2.118711291,2.207055351,1.931511175,2.02814831,2.04197961,1.98385069,1.987816425,2.113968579,2.112908907,2.229644418,1.977765832,1.927289815,1.996569586
"17302",1.975415326,1.969524216,2.055122808,1.981127558,1.971157585,2.199781029,1.856919659,2.042790219,1.881889496,1.973588125,2.002206916,2.098062984,2.261148098,2.075915603,2.051778159,2.232446615,2.237243311,2.074398584,1.995846432,2.087379266,2.06011925,2.292723143,2.198521491,2.126677638,2.043286792,1.945608202,1.955815758,1.900094376,2.012001797,2.287057096,2.081696431,2.078586563,2.137519064,2.019560215
"17940",2.195952715,2.03131924,2.090322014,2.234058383,2.01672676,1.915584175,1.90546157,1.999384674,1.914830471,1.998435337,2.082954399,2.123897554,2.131424244,2.286942016,1.931397591,2.209918441,1.942255235,2.050951843,2.088557816,1.992831447,2.02066529,1.932834617,2.0917272,2.359439141,2.02767505,2.000553835,1.940078637,2.155898348,2.070198897,2.240134784,2.015121132,2.110870905,2.021388823,2.059775536
