"ENTREZ_GENE_ID","expressed","top"
"7105","0","0"
"64102","0","0"
"8813","1","0"
"57147","0","0"
"55732","0","0"
"2268","1","0"
"3075","0","0"
"2519","0","0"
"2729","1","0"
"4800","1","0"
"90529","0","0"
"57185","0","0"
"81887","1","0"
"22875","0","0"
"6405","0","0"
"1080","0","0"
"54467","1","0"
"1595","0","0"
"889","1","0"
"5893","0","0"
"572","0","0"
"51056","1","0"
"4267","1","1"
"9957","0","0"
"26","0","0"
"51384","0","0"
"23072","0","0"
"8379","0","0"
"3927","1","0"
"29916","1","0"
"55365","0","0"
"4074","1","0"
"90293","0","0"
"56603","0","0"
"3382","0","0"
"79007","0","0"
"57679","0","0"
"843","0","0"
"8837","1","1"
"7035","0","0"
"55471","1","0"
"10181","1","1"
"9108","0","0"
"6542","0","0"
"381","1","0"
"23098","0","0"
"26073","1","0"
"23129","0","0"
"204","0","0"
"952","0","0"
"2288","0","0"
"23028","1","0"
"10180","1","0"
"84254","0","0"
"5965","1","0"
"55610","0","0"
"126393","0","0"
"115703","0","0"
"4706","1","0"
"5166","0","0"
"85413","0","0"
"51364","0","0"
"340273","0","0"
"170302","0","0"
"10165","0","0"
"7982","0","0"
"93655","0","0"
"996","1","0"
"6521","0","0"
"799","0","0"
"3052","0","0"
"1856","0","0"
"64063","0","0"
"5976","1","0"
"8935","0","0"
"292","1","0"
"55013","1","0"
"3207","0","0"
"5439","1","0"
"56919","0","0"
"4222","0","0"
"221981","0","0"
"3980","1","0"
"79657","0","0"
"6296","0","0"
"81691","0","0"
"57019","1","0"
"56928","0","0"
"80256","0","0"
"51226","0","0"
"5577","0","0"
"10943","1","0"
"1387","1","1"
"9256","1","0"
"4353","0","0"
"5444","0","0"
"6936","0","0"
"84058","0","0"
"54677","0","0"
"5244","0","0"
"55904","1","1"
"57414","1","1"
"30812","0","0"
"25998","1","0"
"7748","1","0"
"23077","1","1"
"26224","1","0"
"3683","1","1"
"5164","0","0"
"3675","0","0"
"7543","1","0"
"3920","0","0"
"3674","0","0"
