## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=results/data/m2Macro/picard/hist/m2Macro_S2R2_insert_size_histo.pdf MINIMUM_PCT=0.05 INPUT=results/data/m2Macro/aligned_reads/S2R2/m2Macro_S2R2.bam OUTPUT=results/data/m2Macro/picard/insert/m2Macro_S2R2_insert_size.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 01 00:13:19 CST 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
209	138	84	16	1034387	242.641578	190.821711	30556155	FR	41	79	109	139	169	213	971	3179	8479	16343	62387			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
16	1
18	2
19	2
20	6
21	2
22	8
23	15
24	3
25	4
26	3
27	2
28	4
29	13
30	9
31	14
32	7
33	15
34	18
35	10
36	5
37	11
38	19
39	30
40	16
41	33
42	31
43	39
44	36
45	45
46	48
47	59
48	62
49	86
50	114
51	101
52	158
53	142
54	171
55	174
56	227
57	250
58	286
59	362
60	410
61	436
62	449
63	545
64	633
65	697
66	796
67	909
68	1095
69	1170
70	1386
71	1588
72	1972
73	2105
74	2362
75	2717
76	3022
77	3651
78	3846
79	4480
80	5094
81	5966
82	6950
83	7985
84	9054
85	10314
86	11286
87	12744
88	13947
89	15930
90	23964
91	20103
92	21229
93	23694
94	26888
95	29438
96	33194
97	35836
98	39628
99	44398
100	49113
101	53021
102	58457
103	62246
104	66945
105	72849
106	77953
107	83030
108	87636
109	91970
110	96785
111	99600
112	106141
113	113493
114	119440
115	126165
116	132271
117	137503
118	140678
119	143120
120	144279
121	149706
122	154852
123	160452
124	163152
125	167350
126	173354
127	175615
128	178123
129	177405
130	178712
131	177562
132	184080
133	183255
134	184208
135	189348
136	189559
137	191885
138	192493
139	191837
140	190098
141	186970
142	187820
143	189698
144	186494
145	188430
146	186663
147	187764
148	188099
149	188229
150	186694
151	181763
152	182113
153	176847
154	176345
155	176643
156	175252
157	172272
158	170200
159	166738
160	165687
161	161445
162	161735
163	161937
164	156818
165	156145
166	155677
167	154205
168	153431
169	150436
170	148161
171	142550
172	138831
173	135564
174	131416
175	132066
176	127810
177	127105
178	126003
179	123119
180	122251
181	121533
182	116815
183	115754
184	111577
185	115619
186	107411
187	108575
188	107007
189	106285
190	103027
191	97796
192	97980
193	95447
194	93275
195	92141
196	92849
197	92101
198	92357
199	86805
200	86868
201	84109
202	84411
203	82200
204	78787
205	79333
206	76781
207	75880
208	73417
209	72096
210	70944
211	70041
212	67904
213	67659
214	65309
215	64532
216	64108
217	62044
218	62869
219	61210
220	60596
221	60463
222	58263
223	57945
224	56471
225	55895
226	54981
227	54747
228	52907
229	52787
230	50793
231	50491
232	50038
233	49397
234	48047
235	47874
236	47487
237	47087
238	45518
239	44202
240	43901
241	43497
242	42828
243	41770
244	40592
245	40625
246	39405
247	38837
248	38391
249	38340
250	37383
251	37411
252	35939
253	35192
254	34785
255	33922
256	32758
257	33277
258	32279
259	32310
260	31599
261	30967
262	30495
263	30136
264	29804
265	28896
266	29107
267	28874
268	28435
269	27623
270	26995
271	26774
272	25824
273	25290
274	24938
275	24873
276	24181
277	23975
278	24056
279	23708
280	23263
281	24106
282	22502
283	21851
284	21717
285	21213
286	21089
