Rxn,Lowerbound,Upperbound
EX_glc_D[e],-100,1000
EX_fe2[e],-1000,1000
EX_gal[e],0,1000
EX_zn2[e],-1000,1000
EX_ca2[e],-1000,1000
EX_na1[e],-1000,1000
EX_cl[e],-1000,1000
EX_k[e],-1000,1000
EX_h[e],-1000,1000
EX_h2o[e],-1000,1000
EX_o2[e],-1000,1000
EX_pi[e],-1000,1000
EX_ppi[e],-1000,1000
EX_co2[e],-1000,1000
EX_nh4[e],-1000,1000
EX_no2[e],-1000,1000
EX_co[e],-1000,1000
EX_asn_L[e],-1,1000
EX_asp_L[e],-1,1000
EX_glu_L[e],-1,1000
EX_ile_L[e],-1,1000
EX_leu_L[e],-1,1000
EX_lys_L[e],-1,1000
EX_met_L[e],-1,1000
EX_pro_L[e],-1,1000
EX_ser_L[e],-1,1000
EX_val_L[e],-1,1000
EX_gly[e],-1,1000
EX_cys_L[e],-1,1000
EX_ala_L[e],-1,1000
EX_his_L[e],-1,1000
EX_thr_L[e],-1,1000
EX_gln_L[e],-1,1000
EX_phe_L[e],-1,1000
EX_tyr_L[e],-1,1000
EX_arg_L[e],-1,1000
EX_trp_L[e],-1,1000
EX_eicostet[e],-1,1000
EX_hdca[e],-1,1000
EX_hdcea[e],-1,1000
EX_lnlc[e],-1,1000
EX_lnlnca[e],-1,1000
EX_lnlncg[e],-1,1000
EX_ocdca[e],-1,1000
EX_ocdcea[e],-1,1000
EX_thmmp[e],0,1000
EX_thmtp[e],0,1000
EX_ncam[e],0,1000
EX_pnto_R[e],0,1000
EX_pydxn[e],0,1000
EX_pydx[e],0,1000
EX_pydam[e],0,1000
EX_btn[e],0,1000
EX_fol[e],0,1000
EX_aqcobal[e],0,1000
EX_vitd3[e],-1,1000
EX_ascb_L[e],0,1000
EX_retinol[e],0,1000
EX_retinal[e],0,1000
EX_ala_B[e],-1,1000
EX_ala_D[e],-1,1000
EX_h2co3[e],-1000,1000
EX_h2o2[e],-1000,1000
EX_hco3[e],-1000,1000
EX_orn[e],-1,1000
EX_orn_D[e],-1,1000
EX_so4[e],-1000,1000
EX_ribflv[e],-1,1000
EX_Lcystin[e],0,1000
