Majority protein IDs,Gene names,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state
A0A024QZX5;A0A087X1N8,SERPINB6,0,0,0,0,0,0,0,0
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8,CEACAM5,0,0,0,0,0,0,0,0
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6,NRP2,97,0,416,178,0,0,0,0
A0A024R4E5;Q00341;Q00341-2;H0Y394,HDLBP,142088,178332,134839,126964,27078,29479,28525,38335
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2,TMPIT;TMEM120A,95,5193,3032,2662,1669,1055,4052,2169
O94956;A0A0A0MTF1;E9PRW4;A0A024R5I4;O94956-2;O94956-4;O94956-3,SLCO2B1,0,0,0,0,0,0,0,0
O75503;A0A024R644;A0A087WZY0,CLN5,9303,4905,10261,2994,4636,6786,2695,8046
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4,ELOF1,26514,35951,19645,13733,161307,138478,113717,133544
A0A024RAC6;Q14241,TCEB3,12691,15050,15690,16804,10545,8555,9388,8997
P26718;A0A024RAP8,KLRK1;hCG_2009644,0,0,0,0,0,8225,0,7005
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1,ZSCAN26;ZNF187,0,2196,0,2605,47282,5107,3671,3956
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4,ATP11C,86,8427,0,0,2117,3440,2661,3847
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2,DMD,2726,4869,663,1363,396,95,576,864
A0A075B6I0,IGLV8-61,10444,0,0,33511,0,0,21986,9404
A0A075B6I2;P06318;P06319,IGLV6-57,0,0,0,0,0,0,0,0
A0A075B6I5;P01702;P06316,IGLV1-51,0,0,1964,6226,10640,0,0,0
A0A075B6I8,IGLV1-47,0,0,0,0,0,0,0,0
A0A075B6I9;A0A0B4J1U2;P04211,IGLV7-46,0,0,0,0,0,12299,0,0
A0A075B6J0,IGLV1-40,0,0,0,0,0,0,0,0
A0A075B6J3,IGLV3-27,0,0,0,0,0,0,0,0
A0A075B6J4,IGLV3-25,0,0,0,0,0,0,24356,9437
A0A075B6J5;P01705,IGLV2-23,0,0,0,0,0,0,0,0
A0A075B6J7,IGLV3-21,15875,0,0,0,0,0,16338,1111
A0A075B6J8,IGLV3-19,76,0,0,1706,550,1581,3815,0
A0A075B6J9,IGLV2-18,0,0,0,0,0,0,0,0
A0A075B6K1,IGLV2-14,0,0,0,0,0,0,2572,0
A0A075B6K4,IGLV3-10,21465,0,0,20738,9587,0,33719,6778
A0A075B6K5,IGLV3-9,43915,5536,0,0,0,0,20314,24480
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06,IGLC2;IGLC3,338895,40985,29953,36217,17745,17104,206062,139984
A0A075B6L1;A0M8Q6,IGLC7,0,0,0,0,0,0,0,0
A0A075B6L6,TRBV7-3,0,0,0,0,8787,2741,4213,0
A0A075B6N1,TRBV19,0,0,0,0,11957,15555,24054,10241
A0A075B6N2,TRBV20-1,0,0,0,0,0,0,0,11198
A0A075B6Q5,IGHV3-64,0,0,0,0,0,0,0,0
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614,IGKV2D-40,0,0,0,0,0,0,0,0
A0A075B6R6;A0A087WWX3;P03986,TRGC2,0,0,11611,9823,0,0,0,0
A0A075B6S3;P06310;A0A075B6S6,IGKV2-30;IGKV2D-30,0,0,0,0,0,0,0,0
A0A075B6S5,IGKV1-27,0,0,0,0,0,0,0,0
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6,AMBRA1,0,923,204,1184,0,0,332,462
Q9NVX7;Q9NVX7-2;A0A075B6T4,KBTBD4,4644,3205,15851,5386,4430,5207,8467,7826
A0A075B6T6,TRAV12-2,0,0,9171,0,10562,6913,6239,12198
A0A075B6T7,TRAV6,0,0,0,0,0,0,5017,0
A0A075B6V5,,0,0,0,0,1468,0,0,0
A0A075B6W5,,0,0,11234,6817,0,0,7623,7332
A0A075B6Y5,TRAJ47,0,0,0,0,0,23874,13165,34162
A0A075B738,PECAM1,0,0,0,0,0,0,0,0
P82921;A0A075B746,MRPS21,79193,67111,47420,49205,32617,21433,62822,37161
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3,PDE4DIP,406,1877,1613,1474,1187,1397,1317,810
O00623;A0A075B773;K7ELY8,PEX12,0,0,0,0,0,0,0,0
A0A075B7B8,IGHV3OR16-12,11747,0,0,0,0,0,7572,6920
A0A075B7D0,IGHV1OR15-1,0,0,0,0,0,0,0,0
A0A075B7D8,IGHV3OR15-7,11922,0,0,0,0,0,0,0
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2,POM121C,9290,7019,8748,7851,4762,7707,4407,5673
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7,BCL2L12,5485,4227,5377,14734,6296,0,0,0
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6,HEL-S-109;NUCB2;Nucb2;DCAF5,251227,186197,191865,133665,63584,59878,94494,64952
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7,TXNRD1;GML,374908,428258,436750,249493,90339,97714,99379,163323
A8MVE2;A0A0B4J1W1;A0A087WSX8,PODNL1,0,0,0,0,0,0,0,0
Q96IY4;A0A087WSY5;Q96IY4-2,CPB2,6665,5758,0,34795,0,16423,0,0
A0A087WSY6,,8539,73390,47686,0,0,0,9770,7511
A0A087WT03,,16954,14968,0,0,3962,0,18907,3820
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1,GPX4,339358,456028,282327,178799,280641,407488,181251,358387
Q9NV06;A0A087WT20,DCAF13,80724,125863,144480,112085,46292,59620,54640,95528
Q8N5I9;A0A087WT30,C12orf45,9463,0,4711,15655,0,5790,5312,3096
A0A087WT39;V9GYI1,LIME1,3676,34074,73664,90035,84475,92318,190147,166057
Q9NQ66;A0A087WT80;A0A087WW73;Q9NQ66-2;A0A0D9SF51;A0A0D9SG17;H0YCJ2,PLCB1,0,0,0,0,0,0,0,0
Q9H9V9;A0A087WT84;Q9H9V9-2,JMJD4,0,0,0,0,0,2297,0,0
P08123;A0A087WTA8,COL1A2,0,0,123,0,0,0,0,0
A0A087WTJ2;Q96F15;Q96F15-2,GIMAP5,181831,201672,237812,248073,347419,385246,421314,461770
A0A087WTM7,,1512,712,0,670,0,0,896,1169
Q96A57;Q5JWB9;A0A087WTT2;Q96A57-2,TMEM230,44399,0,0,35122,68757,0,35876,53406
Q8TCU4;A0A087WTU9;A0A087WZY3;Q8TCU4-2,ALMS1,423,0,4164,1052,1426,1019,2233,1725
O15318;D6R9U7;A0A087WTV7;D6RIT0;D6RJH6;D6R921,POLR3G,0,0,0,0,0,0,0,0
A0A087WTW0;Q96T88;A0A087WVR3;Q96T88-2;A0A087WWG9,UHRF1,260096,195208,193232,212520,2564,1796,869,1856
Q9UKL3;A0A087WTW5,CASP8AP2,0,0,2184,3256,721,755,0,950
Q92504;A0A087WTX2,SLC39A7,23,0,2563,1723,726,711,3529,916
A0A087WTX5,,0,0,0,0,0,0,3346,3234
Q96RQ1;A0A087WU02;H0YI50;H0YI58;F8VPA6,ERGIC2;RLN3,13370,5575,30807,5635,9780,6893,8597,10022
A0A087WU05,,0,0,0,0,0,0,0,0
Q5TGZ0;A0A087WU07;Q5TGZ0-2;R4GNA1,MINOS1;MINOS1-NBL1,0,0,0,0,100940,180059,202204,106940
O75626;A0A087WU16;O75626-2;O75626-3,PRDM1,0,0,0,0,0,0,0,0
A0A087WU28;A0A0B4J2C1,,0,0,0,0,0,0,0,0
P02724;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2,GYPA;GPErik,0,0,0,0,0,0,0,0
Q9H0U3;A0A087WU53,MAGT1,73453,86379,112575,55912,87623,44339,85623,81125
A0A087WU91;A0A0A0MS15,,23671,0,0,3419,0,0,0,0
Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2,CTNNBL1,117641,134613,147682,108753,83897,84560,93417,107460
Q15005;A0A087WUC6;E9PL01;E9PI68,SPCS2,322823,534324,564750,356353,228337,204084,339768,252083
A0A087WUD1,,31920,42620,25019,22403,29405,23273,28643,33740
Q9NRP0;A0A087WUD3;Q9NRP0-2,OSTC,73190,92507,83172,66724,62091,81992,124887,124683
P28715;A0A087WUH0,ERCC5,6551,9005,6257,4595,13376,9288,9474,10748
Q7Z4K8;F5GYK0;Q5VT61;A0A0A0MS35;A0A087WUH1;Q7Z4K8-5;Q7Z4K8-2;Q7Z4K8-4;Q7Z4K8-3,TRIM46,0,0,0,0,0,0,0,0
Q9Y388;A0A087WUI1,RBMX2,25169,15711,10512,41824,8403,13048,11311,16189
Q15661;P20231;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;A0A0C4DGM1,TPSAB1;TPSB2,0,0,0,0,0,0,0,50
P40305;G3V4U3;Q9H4B1;A0A087WV79;A0A087WUJ8;A0A087WZR1;A8K0H0;A0A087X174,IFI27;P27,0,0,0,0,0,0,0,0
O14979;A0A087WUK2,HNRNPDL,645771,541056,501203,718568,534278,594368,524881,709838
Q3LXA3;A0A087WUL0;H0YCY6;Q3LXA3-2,DAK,140477,119680,89659,70961,123840,136226,110252,178727
A0A087WUL2,,11229,9383,6861,8841,0,0,0,0
A0A087WUM0;P57105,SYNJ2BP,331,4320,2723,3537,15168,18886,51447,7689
P07203;A0A087WUQ6,GPX1,1247616,694558,633059,275907,445421,729581,450959,644187
P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4,RPS24,3747490,2877901,1969989,1775330,2150643,1352654,1867267,2177330
A0A087WUS7;P01880,IGHD,0,0,0,0,0,0,0,0
O60841;A0A087WUT6,EIF5B,284176,301170,248123,179792,57385,70969,61163,87331
P47974;A0A087WUU9,ZFP36L2,35330,21696,45685,8969,5838,8138,6783,9494
A0A087WUW5,,0,0,0,0,0,0,0,0
Q9NXU5;A0A087WUW9;A0A0B4J222,ARL15,0,0,8287,3626,3332,0,5124,3519
Q16760-2;A0A087WUZ9;Q16760;H7BZR7,DGKD,0,0,0,0,0,0,0,0
Q99417;A0A087WV05,MYCBP,912299,360725,538415,734041,199454,262283,212235,274409
A0A087WV08;A0A075B6X2;B7Z8K6,TRDC,0,0,0,0,0,0,0,0
Q9NP08;F1T0J4;A0A087WV14,HMX1,0,0,0,0,0,0,0,0
A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A087X0P3;A0A087WV17;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7,OSCAR,0,0,0,0,0,0,0,0
P02810;A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1,PRH1,0,0,0,0,0,0,0,0
A0A087WV47;P01857;A0A0A0MS07,IGHG1,2271707,376496,146623,315336,70370,52708,951734,874735
P46013;A0A087WV66,MKI67,285027,448841,400728,300206,170,58,30,30
O75352;J3QS48;I3L295;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;I3L1D2;J3KSI4;I3L4E0;J3KTK8;J3QQZ4;I3L405;I3L261,MPDU1;HBEBP2BPA,156690,165961,160387,267831,66227,88432,102460,96819
