genes,bHCnaiveB_S1R1,bHCnaiveB_S1R2,bHCnaiveB_S1R3,bSLEnaiveB_S1R1,bSLEnaiveB_S1R2,bSLEnaiveB_S1R3
ENSG00000000003,4,0,0,1,0,0
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,771,974,634,402,484,335
ENSG00000000457,301,330,79,235,889,133
ENSG00000000460,114,295,25,104,237,46
ENSG00000000938,1678,1303,343,318,19450,852
ENSG00000000971,0,1,1,6,2,0
ENSG00000001036,58,66,19,56,141,60
ENSG00000001084,153,204,79,194,454,80
ENSG00000001167,931,1076,355,1039,1636,584
ENSG00000001460,46,88,11,74,229,77
ENSG00000001461,507,639,112,480,1680,347
ENSG00000001497,573,1086,275,516,1219,348
ENSG00000001561,232,449,301,181,461,182
ENSG00000001617,0,1,0,1,0,0
ENSG00000001626,2,1,0,10,0,5
ENSG00000001629,916,1212,321,809,3681,530
ENSG00000001630,8,23,9,8,13,5
ENSG00000001631,434,851,462,648,1268,284
ENSG00000002016,310,457,92,336,599,206
ENSG00000002079,2,1,1,2,1,0
ENSG00000002330,36,9,3,26,0,15
ENSG00000002549,156,379,86,444,802,234
ENSG00000002586,288,445,125,162,1075,238
ENSG00000002587,424,460,78,421,900,111
ENSG00000002726,0,0,0,1,0,0
ENSG00000002745,436,109,47,113,762,105
ENSG00000002746,0,0,0,6,0,0
ENSG00000002822,31,25,8,20,3,33
ENSG00000002834,1315,1770,262,1445,4438,859
ENSG00000002919,169,231,52,160,397,103
ENSG00000002933,2,1,0,0,0,0
ENSG00000003056,338,643,121,534,951,279
ENSG00000003096,1,0,1,9,0,0
ENSG00000003137,0,2,0,4,0,0
ENSG00000003147,0,4,3,7,0,7
ENSG00000003249,165,219,16,103,69,42
ENSG00000003393,193,482,120,339,498,146
ENSG00000003400,246,262,109,744,3226,271
ENSG00000003402,2176,2488,932,1746,15339,1348
ENSG00000003436,1,2,0,10,0,29
ENSG00000003509,221,408,137,353,624,125
ENSG00000003756,2995,4709,1388,3493,5759,1989
ENSG00000003987,143,61,41,80,453,32
ENSG00000003989,0,1,0,0,1,0
ENSG00000004059,31,46,25,32,51,21
ENSG00000004139,71,106,22,96,102,77
ENSG00000004142,221,551,101,392,698,191
ENSG00000004399,0,7,3,9,1,10
ENSG00000004455,788,1134,325,931,1548,482
ENSG00000004468,1096,1911,616,1015,1835,518
ENSG00000004478,361,346,83,323,626,194
ENSG00000004487,1141,1709,528,1118,3248,770
ENSG00000004534,1781,2956,877,3614,4163,1550
ENSG00000004660,18,32,10,40,9,63
ENSG00000004700,454,686,132,484,1514,235
ENSG00000004766,597,714,270,449,1057,295
ENSG00000004776,0,0,0,0,0,0
ENSG00000004777,21,31,7,10,144,7
ENSG00000004779,128,185,91,127,24,92
ENSG00000004799,40,186,18,11,74,15
ENSG00000004809,0,1,0,2,0,0
ENSG00000004838,16,4,1,11,0,12
ENSG00000004846,1,3,0,10,2,0
ENSG00000004848,0,0,0,0,0,0
ENSG00000004864,276,255,60,138,464,123
ENSG00000004866,84,20,9,21,69,22
ENSG00000004897,804,996,442,858,3225,378
ENSG00000004939,0,0,1,1,0,9
ENSG00000004948,0,1,1,1,0,0
ENSG00000004961,134,214,46,240,737,96
ENSG00000004975,181,191,34,189,157,99
ENSG00000005001,0,0,0,1,0,0
ENSG00000005007,202,445,115,266,437,157
ENSG00000005020,2776,2577,720,1737,6944,1066
ENSG00000005022,1227,1091,260,630,440,498
ENSG00000005059,1213,1246,425,788,883,433
ENSG00000005073,0,0,0,1,0,0
ENSG00000005075,42,84,29,35,38,49
ENSG00000005100,206,322,89,221,402,97
ENSG00000005102,0,0,0,0,0,0
ENSG00000005108,0,2,0,2,1,0
ENSG00000005156,522,643,153,307,715,217
ENSG00000005175,1005,1180,426,1099,1622,468
ENSG00000005187,566,457,274,265,189,132
ENSG00000005189,0,8,0,4,4,0
ENSG00000005194,84,186,31,137,506,57
ENSG00000005206,241,824,119,394,435,217
ENSG00000005238,7,23,10,22,100,17
ENSG00000005243,2,4,4,6,0,1
ENSG00000005249,10,26,6,10,34,8
ENSG00000005302,1282,2536,588,1816,3579,923
ENSG00000005339,3531,5750,2246,3129,11738,1953
ENSG00000005379,26,33,29,52,283,28
ENSG00000005381,4,0,0,0,0,0
ENSG00000005421,5,8,0,0,4,1
ENSG00000005436,306,450,199,315,649,195
ENSG00000005448,117,83,20,122,39,48
ENSG00000005469,351,429,143,218,263,99
ENSG00000005471,1059,1861,275,937,752,464
ENSG00000005483,7287,8676,4475,5416,25492,3354
ENSG00000005486,166,334,63,175,387,128
ENSG00000005513,0,0,0,0,0,0
ENSG00000005700,1218,1429,411,1143,3508,543
ENSG00000005801,951,1571,916,1091,1532,579
ENSG00000005810,11987,12113,3391,8878,26058,5370
ENSG00000005812,902,1658,611,815,1757,492
ENSG00000005844,1039,1020,242,960,6256,646
ENSG00000005882,25,118,17,64,263,41
ENSG00000005884,39,26,6,21,2,11
ENSG00000005889,2824,4253,963,3017,5653,1859
ENSG00000005893,1035,1699,557,1314,2746,720
ENSG00000005961,0,9,6,1,0,2
ENSG00000005981,0,0,0,0,0,0
ENSG00000006007,262,313,109,236,606,147
ENSG00000006015,230,286,76,118,99,101
ENSG00000006016,0,1,4,14,6,7
ENSG00000006025,95,182,13,171,150,87
ENSG00000006042,0,0,0,0,0,0
ENSG00000006047,0,1,1,0,0,0
ENSG00000006059,0,0,0,0,0,2
ENSG00000006062,441,585,59,397,1435,340
ENSG00000006071,4,1,0,14,3,0
ENSG00000006116,0,1,1,5,0,0
ENSG00000006118,50,34,5,51,170,29
ENSG00000006125,1861,2379,540,1866,5111,1113
ENSG00000006128,0,0,0,0,0,0
ENSG00000006194,282,307,90,244,295,179
ENSG00000006210,0,0,1,0,0,0
ENSG00000006282,19,338,52,61,320,35
ENSG00000006283,0,0,0,10,0,0
ENSG00000006327,0,0,0,0,2,0
ENSG00000006377,0,0,0,3,0,0
ENSG00000006432,492,752,180,386,387,209
ENSG00000006451,321,248,74,407,346,157
ENSG00000006453,46,134,31,45,110,60
ENSG00000006459,3645,5672,2742,2587,5393,1797
ENSG00000006468,0,6,0,11,0,0
ENSG00000006530,467,786,211,410,1241,309
ENSG00000006534,5,5,5,18,144,13
ENSG00000006555,60,80,7,78,12,13
ENSG00000006576,1572,1487,1160,995,2380,623
ENSG00000006606,0,0,0,0,0,0
ENSG00000006607,960,1515,385,1044,3446,662
ENSG00000006611,0,1,0,2,0,0
ENSG00000006625,60,56,12,58,11,41
ENSG00000006634,180,299,233,83,362,92
ENSG00000006638,19,85,14,34,82,10
ENSG00000006652,941,930,223,267,327,343
ENSG00000006659,0,0,0,0,0,0
ENSG00000006695,221,225,31,149,202,92
ENSG00000006704,0,3,1,7,7,1
ENSG00000006712,419,539,134,332,676,276
ENSG00000006715,1402,1676,365,1032,1540,466
ENSG00000006740,14,10,6,16,60,9
ENSG00000006744,303,476,112,291,539,254
ENSG00000006747,3,32,2,11,82,2
ENSG00000006756,36,72,19,78,321,56
ENSG00000006757,57,95,12,78,35,64
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,213,489,121,284,1057,214
ENSG00000006837,31,7,4,13,15,0
ENSG00000007001,1,0,0,3,0,0
ENSG00000007038,0,2,0,3,0,0
ENSG00000007047,25,127,34,79,211,22
ENSG00000007062,0,0,0,3,0,0
ENSG00000007080,32,13,10,29,15,9
ENSG00000007129,47,81,6,56,100,32
ENSG00000007168,1628,3440,1558,2078,5192,1126
ENSG00000007171,0,3,0,1,0,0
ENSG00000007174,0,7,1,19,7,1
ENSG00000007202,959,1360,237,833,3539,610
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,618,239,90,236,9027,200
ENSG00000007255,104,67,32,106,6,67
ENSG00000007264,12,7,6,7,1,0
ENSG00000007306,0,2,0,0,0,0
ENSG00000007312,914,881,240,1014,270,450
ENSG00000007314,67,185,46,134,25,48
ENSG00000007341,499,456,120,357,810,237
ENSG00000007350,1,3,1,2,0,3
ENSG00000007372,7,5,0,23,0,17
ENSG00000007376,76,55,15,32,32,21
ENSG00000007384,0,4,0,3,36,3
ENSG00000007392,1660,3080,1047,2069,2001,1224
ENSG00000007402,12,15,21,23,33,6
ENSG00000007516,17,33,10,20,74,15
ENSG00000007520,24,78,18,43,68,23
ENSG00000007541,41,101,6,43,151,45
ENSG00000007545,205,269,48,131,349,86
ENSG00000007866,0,0,2,10,0,0
ENSG00000007908,7,29,2,24,22,1
ENSG00000007923,291,416,129,284,492,184
ENSG00000007933,36,2,3,8,0,0
ENSG00000007944,3532,3917,1005,2218,5497,1302
ENSG00000007952,3,19,1,3,0,3
ENSG00000007968,11,18,7,54,31,26
ENSG00000008018,531,726,230,490,681,298
ENSG00000008056,6,2,5,13,6,3
